hero_id,hero_ja,role,sub_role,ashe_comp_stats.threat_ashe,ashe_comp_stats.dynamite_value,ashe_comp_stats.coach_gun_value,ashe_comp_stats.viper_value,ashe_comp_stats.bob_denial,ashe_comp_stats.highground_value,ashe_comp_stats.matchup_rating,ashe_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.dynamite_check,key_enemy_skills.bob_check,diagnosis_snippets.positioning,diagnosis_snippets.target_priority,diagnosis_snippets.dynamite_policy,diagnosis_snippets.coach_gun_policy,diagnosis_snippets.bob_condition,diagnosis_snippets.forbidden,ashe_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cross_target_recalibration.reason,cross_target_recalibration.mirror_matchup,cross_target_recalibration.diff_points,source_status,source_note,cross_target_recalibration,torbjorn_reassessment_note
Symmetra,シンメトラ,ダメージ,スペシャリスト,4,9,6,6,6,5,7,4,"[""dynamite_value"", ""cross_target_recalibrated_v41""]","[""フォトン・バリア"", ""テレポーター""]","[""テレポーター"", ""セントリー・タレット""]","[""フォトン・バリア"", ""テレポーター""]","[""フォトン・バリア""]",シンメトラ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「テレポーター、セントリー・タレットの後」。長く覗かず、撃った後は遮蔽へ戻る。,シンメトラには長い射線で有利を取りやすい。テレポーターで距離を詰められる前に設置物を壊す。,ダイナマイトはシンメトラ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,フォトン・バリアを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,シンメトラには長い射線で有利を取りやすい。テレポーターで距離を詰められる前に設置物を壊す。,,v41,4,7,長い射線有利,シンメトラには長い射線で有利を取りやすい。テレポーターで距離を詰められる前に設置物を壊す。,,,,,,
Junkrat,ジャンクラット,ダメージ,スペシャリスト,9,6,7,6,6,5,4,7,"[""standard_midrange_control""]","[""コンカッション・マイン"", ""RIPタイヤ""]","[""コンカッション・マイン"", ""スティール・トラップ""]","[""コンカッション・マイン""]","[""RIPタイヤ""]",ジャンクラット相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「コンカッション・マイン、スティール・トラップの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはジャンクラット本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,RIPタイヤを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Torbjörn,トールビョーン,ダメージ,スペシャリスト,7,9,6,6,6,5,6,7,"[""dynamite_value""]","[""オーバーロード"", ""モルテン・コア""]","[""タレット""]","[""オーバーロード""]","[""オーバーロード"", ""モルテン・コア""]",トールビョーン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「タレット設置後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはトールビョーン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,オーバーロード、モルテン・コアを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,v47_torbjorn_db_applied,トールビョーンDB v1統合時に、タレット設置・オーバーロード・モルテン・コアの表記と確認タイミングを再点検。
Bastion,バスティオン,ダメージ,スペシャリスト,8,9,6,6,5,5,5,7,"[""dynamite_value""]","[""砲台モード""]","[""強襲モード"", ""A-36タクティカル・グレネード""]","[""砲台モード""]","[""砲台モード""]",バスティオン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「強襲モード、A-36タクティカル・グレネードの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはバスティオン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,砲台モードを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Mei,メイ,ダメージ,スペシャリスト,7,10,6,6,10,5,6,6,"[""dynamite_value"", ""bob_must_check""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]","[""アイス・ウォール""]","[""アイス・ウォール"", ""クリオフリーズ""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]",メイ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「アイス・ウォールの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはメイ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,クリオフリーズ、アイス・ウォール、ブリザードを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Illari,イラリー,サポート,サバイバー,6,8,6,8,6,4,7,7,"[""support_or_save_check""]","[""ヒーリング・パイロン"", ""アウトバースト"", ""キャプティブ・サン""]","[""アウトバースト""]","[""ヒーリング・パイロン"", ""アウトバースト""]","[""ヒーリング・パイロン"", ""キャプティブ・サン""]",イラリー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「アウトバーストの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはイラリー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,ヒーリング・パイロン、キャプティブ・サンを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Jetpack Cat,ジェットパック・キャット,サポート,タクティシャン,8,7,7,10,6,7,8,8,"[""aerial_control"", ""support_or_save_check""]","["""", ""ゴロゴロ"", ""ワイルド・フライト""]","[""ワイルド・フライト"", ""キャットナッパー""]","["""", ""ゴロゴロ"", ""ワイルド・フライト""]","["""", ""ゴロゴロ"", ""キャットナッパー""]",ジェットパック・キャット相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ワイルド・フライト、キャットナッパーの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはジェットパック・キャット本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,ゴロゴロ、キャットナッパーを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Juno,ジュノ,サポート,サバイバー,8,10,7,8,6,4,7,8,"[""support_or_save_check"", ""dynamite_value""]","[""ハイパーリング"", ""オービタル・レイ"", ""グライド・ブースト""]","[""グライド・ブースト"", ""パルサー・トーピード"", ""ハイパーリング""]","[""ハイパーリング"", ""オービタル・レイ"", ""グライド・ブースト""]","[""ハイパーリング"", ""オービタル・レイ""]",ジュノ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「グライド・ブースト、パルサー・トーピードの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはジュノ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,ハイパーリング、オービタル・レイを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Baptiste,バティスト,サポート,タクティシャン,7,10,7,8,9,4,7,7,"[""support_or_save_check"", ""dynamite_value"", ""bob_must_check""]","[""イモータリティ・フィールド"", ""リジェネ・バースト"", """"]","[""""]","[""イモータリティ・フィールド"", ""リジェネ・バースト"", """"]","[""イモータリティ・フィールド""]",バティスト相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「イモータリティ・フィールド後、リジェネ・バースト後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはバティスト本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,イモータリティ・フィールド、リジェネ・バースト、アンプリフィケーション・マトリックスを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Mercy,マーシー,サポート,メディック,7,7,7,10,6,5,8,7,"[""aerial_control"", ""support_or_save_check""]","[""蘇生"", ""ガーディアン・エンジェル"", ""ヴァルキリー""]","[""ガーディアン・エンジェル""]","[""蘇生"", ""ガーディアン・エンジェル""]","[""蘇生"", ""ガーディアン・エンジェル"", ""ヴァルキリー""]",マーシー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ガーディアン・エンジェル後、またはリザレクト開始時」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはマーシー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,蘇生、ガーディアン・エンジェル、ヴァルキリーを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Lifeweaver,ライフウィーバー,サポート,メディック,6,9,6,8,9,4,8,6,"[""support_or_save_check"", ""bob_must_check""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""命の樹""]","[""ペタル・プラットフォーム"", ""若返りの風""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""命の樹""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""命の樹""]",ライフウィーバー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ペタル・プラットフォーム、若返りの風の後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはライフウィーバー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,ライフグリップ、ペタル・プラットフォーム、命の樹を確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Kiriko,キリコ,サポート,メディック,8,9,8,8,10,4,7,7,"[""support_or_save_check"", ""bob_must_check""]","[""鈴のご加護"", ""神出鬼没"", ""狐走り""]","[""神出鬼没""]","[""鈴のご加護"", ""神出鬼没""]","[""鈴のご加護"", ""神出鬼没"", ""狐走り""]",キリコ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「鈴のご加護後、神出鬼没で逃げた後の再ピーク」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはキリコ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,鈴のご加護、神出鬼没、狐走りを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Brigitte,ブリギッテ,サポート,サバイバー,5,10,6,8,6,4,8,7,"[""support_or_save_check"", ""dynamite_value""]","[""バリア・シールド"", ""ラリー"", ""リペア・パック""]","[""シールド・バッシュ"", ""ウィップ・ショット""]","[""リペア・パック"", ""ラリー"", ""バリア・シールド""]","[""バリア・シールド"", ""ラリー"", ""リペア・パック""]",ブリギッテ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「シールド・バッシュ、ウィップ・ショットの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはブリギッテ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,バリア・シールド、ラリー、リペア・パックを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Moira,モイラ,サポート,メディック,6,10,7,8,5,4,8,7,"[""support_or_save_check"", ""dynamite_value""]","[""フェード"", ""コアレッセンス""]","[""フェード"", ""バイオティック・オーブ""]","[""フェード""]","[""フェード"", ""コアレッセンス""]",モイラ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「フェード、バイオティック・オーブの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはモイラ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,フェード、コアレッセンスを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Lúcio,ルシオ,サポート,タクティシャン,7,10,7,8,9,4,7,7,"[""support_or_save_check"", ""dynamite_value"", ""bob_must_check""]","[""サウンド・バリア"", ""ウォール・ライド""]","[""ウォール・ライド"", ""サウンドウェーブ"", ""アンプ・イット・アップ""]","[""サウンド・バリア"", ""ウォール・ライド""]","[""サウンド・バリア""]",ルシオ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ウォール・ライド、サウンドウェーブの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはルシオ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,サウンド・バリアを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Ana,アナ,サポート,タクティシャン,5,8,5,8,10,4,8,6,"[""support_or_save_check"", ""bob_must_check""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]","[""スリープ・ダーツ"", ""バイオティック・グレネード""]","[""スリープ・ダーツ""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]",アナ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「スリープ・ダーツ後、またはバイオティック・グレネードを使った後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはアナ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,スリープ・ダーツ、ナノ・ブーストを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Wuyang,ウーヤン,サポート,サバイバー,6,8,6,8,9,4,7,6,"[""support_or_save_check"", ""bob_must_check""]","[""養神泉"", ""驚濤破"", ""飛流歩""]","[""飛流歩"", ""玄武之杖"", ""驚濤破""]","[""養神泉"", ""驚濤破"", ""飛流歩""]","[""養神泉"", ""驚濤破"", ""守衛波浪""]",ウーヤン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「飛流歩、玄武之杖の後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはウーヤン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,養神泉、驚濤破、守衛波浪を確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Zenyatta,ゼニヤッタ,サポート,タクティシャン,5,8,6,8,9,4,8,6,"[""support_or_save_check"", ""bob_must_check""]","[""心頭滅却"", ""不和のオーブ""]","[""不和のオーブ""]","[""心頭滅却""]","[""心頭滅却"", ""不和のオーブ""]",ゼニヤッタ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「不和のオーブが味方タンクに付いた直後、または心頭滅却を切った後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはゼニヤッタ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,心頭滅却、不和のオーブを確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
Mizuki,ミズキ,サポート,サバイバー,6,8,6,8,6,4,7,7,"[""support_or_save_check""]","[""霊域結界"", ""快気の笠"", ""形代""]","[""形代"", ""呪縛""]","[""霊域結界"", ""快気の笠"", ""形代""]","[""霊域結界"", ""快気の笠"", ""癒しの波動""]",ミズキ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「形代、呪縛の後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはミズキ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コーチ・ガンは前進用より、距離作り・高台再確保・リロード時間の安全確保に使う。使った後に孤立しない位置を選ぶ。,霊域結界、快気の笠、癒しの波動を確認してからB.O.Bを出す。,同じ射線で撃ち続けて、接近・狙撃・妨害スキルをまとめて受けない。,,,,,,,,,,,,,,,
