target_id,enemy_id,free_preview_text,paid_unlock_text
Soldier76,D.Va,ソルジャー76視点で、D.Vaへの基本方針と対面カテゴリまでは無料で確認できる。,D.Vaへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Winston,ソルジャー76視点で、ウィンストンへの基本方針と対面カテゴリまでは無料で確認できる。,ウィンストンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Doomfist,ソルジャー76視点で、ドゥームフィストへの基本方針と対面カテゴリまでは無料で確認できる。,ドゥームフィストへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Hazard,ソルジャー76視点で、ハザードへの基本方針と対面カテゴリまでは無料で確認できる。,ハザードへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Wrecking Ball,ソルジャー76視点で、レッキング・ボールへの基本方針と対面カテゴリまでは無料で確認できる。,レッキング・ボールへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Zarya,ソルジャー76視点で、ザリアへの基本方針と対面カテゴリまでは無料で確認できる。,ザリアへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Junker Queen,ソルジャー76視点で、ジャンカー・クイーンへの基本方針と対面カテゴリまでは無料で確認できる。,ジャンカー・クイーンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Domina,ソルジャー76視点で、ドミナへの基本方針と対面カテゴリまでは無料で確認できる。,ドミナへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Mauga,ソルジャー76視点で、マウガへの基本方針と対面カテゴリまでは無料で確認できる。,マウガへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Ramattra,ソルジャー76視点で、ラマットラへの基本方針と対面カテゴリまでは無料で確認できる。,ラマットラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Roadhog,ソルジャー76視点で、ロードホッグへの基本方針と対面カテゴリまでは無料で確認できる。,ロードホッグへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Orisa,ソルジャー76視点で、オリーサへの基本方針と対面カテゴリまでは無料で確認できる。,オリーサへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Sigma,ソルジャー76視点で、シグマへの基本方針と対面カテゴリまでは無料で確認できる。,シグマへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Reinhardt,ソルジャー76視点で、ラインハルトへの基本方針と対面カテゴリまでは無料で確認できる。,ラインハルトへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Ashe,ソルジャー76視点で、アッシュへの基本方針と対面カテゴリまでは無料で確認できる。,アッシュへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Widowmaker,ソルジャー76視点で、ウィドウメイカーへの基本方針と対面カテゴリまでは無料で確認できる。,ウィドウメイカーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Emre,ソルジャー76視点で、エムレへの基本方針と対面カテゴリまでは無料で確認できる。,エムレへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Cassidy,ソルジャー76視点で、キャスディへの基本方針と対面カテゴリまでは無料で確認できる。,キャスディへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Sojourn,ソルジャー76視点で、ソジョーンへの基本方針と対面カテゴリまでは無料で確認できる。,ソジョーンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Soldier: 76,ソルジャー76視点で、ソルジャー76への基本方針と対面カテゴリまでは無料で確認できる。,ソルジャー76への有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Hanzo,ソルジャー76視点で、ハンゾーへの基本方針と対面カテゴリまでは無料で確認できる。,ハンゾーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Freja,ソルジャー76視点で、フレイヤへの基本方針と対面カテゴリまでは無料で確認できる。,フレイヤへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Anran,ソルジャー76視点で、アンランへの基本方針と対面カテゴリまでは無料で確認できる。,アンランへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Genji,ソルジャー76視点で、ゲンジへの基本方針と対面カテゴリまでは無料で確認できる。,ゲンジへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Shion,ソルジャー76視点で、シオンへの基本方針と対面カテゴリまでは無料で確認できる。,シオンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Sombra,ソルジャー76視点で、ソンブラへの基本方針と対面カテゴリまでは無料で確認できる。,ソンブラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Tracer,ソルジャー76視点で、トレーサーへの基本方針と対面カテゴリまでは無料で確認できる。,トレーサーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Venture,ソルジャー76視点で、ベンチャーへの基本方針と対面カテゴリまでは無料で確認できる。,ベンチャーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Reaper,ソルジャー76視点で、リーパーへの基本方針と対面カテゴリまでは無料で確認できる。,リーパーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Vendetta,ソルジャー76視点で、ヴェンデッタへの基本方針と対面カテゴリまでは無料で確認できる。,ヴェンデッタへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Echo,ソルジャー76視点で、エコーへの基本方針と対面カテゴリまでは無料で確認できる。,エコーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Pharah,ソルジャー76視点で、ファラへの基本方針と対面カテゴリまでは無料で確認できる。,ファラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Symmetra,ソルジャー76視点で、シンメトラへの基本方針と対面カテゴリまでは無料で確認できる。,シンメトラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Junkrat,ソルジャー76視点で、ジャンクラットへの基本方針と対面カテゴリまでは無料で確認できる。,ジャンクラットへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Torbjörn,ソルジャー76視点で、トールビョーンへの基本方針と対面カテゴリまでは無料で確認できる。,トールビョーンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Bastion,ソルジャー76視点で、バスティオンへの基本方針と対面カテゴリまでは無料で確認できる。,バスティオンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Mei,ソルジャー76視点で、メイへの基本方針と対面カテゴリまでは無料で確認できる。,メイへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Illari,ソルジャー76視点で、イラリーへの基本方針と対面カテゴリまでは無料で確認できる。,イラリーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Jetpack Cat,ソルジャー76視点で、ジェットパック・キャットへの基本方針と対面カテゴリまでは無料で確認できる。,ジェットパック・キャットへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Juno,ソルジャー76視点で、ジュノへの基本方針と対面カテゴリまでは無料で確認できる。,ジュノへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Baptiste,ソルジャー76視点で、バティストへの基本方針と対面カテゴリまでは無料で確認できる。,バティストへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Mercy,ソルジャー76視点で、マーシーへの基本方針と対面カテゴリまでは無料で確認できる。,マーシーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Lifeweaver,ソルジャー76視点で、ライフウィーバーへの基本方針と対面カテゴリまでは無料で確認できる。,ライフウィーバーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Kiriko,ソルジャー76視点で、キリコへの基本方針と対面カテゴリまでは無料で確認できる。,キリコへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Brigitte,ソルジャー76視点で、ブリギッテへの基本方針と対面カテゴリまでは無料で確認できる。,ブリギッテへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Moira,ソルジャー76視点で、モイラへの基本方針と対面カテゴリまでは無料で確認できる。,モイラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Lúcio,ソルジャー76視点で、ルシオへの基本方針と対面カテゴリまでは無料で確認できる。,ルシオへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Ana,ソルジャー76視点で、アナへの基本方針と対面カテゴリまでは無料で確認できる。,アナへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Wuyang,ソルジャー76視点で、ウーヤンへの基本方針と対面カテゴリまでは無料で確認できる。,ウーヤンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Zenyatta,ソルジャー76視点で、ゼニヤッタへの基本方針と対面カテゴリまでは無料で確認できる。,ゼニヤッタへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Soldier76,Mizuki,ソルジャー76視点で、ミズキへの基本方針と対面カテゴリまでは無料で確認できる。,ミズキへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,D.Va,ソジョーン視点で、D.Vaへの基本方針と対面カテゴリまでは無料で確認できる。,D.Vaへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Winston,ソジョーン視点で、ウィンストンへの基本方針と対面カテゴリまでは無料で確認できる。,ウィンストンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Doomfist,ソジョーン視点で、ドゥームフィストへの基本方針と対面カテゴリまでは無料で確認できる。,ドゥームフィストへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Hazard,ソジョーン視点で、ハザードへの基本方針と対面カテゴリまでは無料で確認できる。,ハザードへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Wrecking Ball,ソジョーン視点で、レッキング・ボールへの基本方針と対面カテゴリまでは無料で確認できる。,レッキング・ボールへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Zarya,ソジョーン視点で、ザリアへの基本方針と対面カテゴリまでは無料で確認できる。,ザリアへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Junker Queen,ソジョーン視点で、ジャンカー・クイーンへの基本方針と対面カテゴリまでは無料で確認できる。,ジャンカー・クイーンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Domina,ソジョーン視点で、ドミナへの基本方針と対面カテゴリまでは無料で確認できる。,ドミナへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Mauga,ソジョーン視点で、マウガへの基本方針と対面カテゴリまでは無料で確認できる。,マウガへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Ramattra,ソジョーン視点で、ラマットラへの基本方針と対面カテゴリまでは無料で確認できる。,ラマットラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Roadhog,ソジョーン視点で、ロードホッグへの基本方針と対面カテゴリまでは無料で確認できる。,ロードホッグへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Orisa,ソジョーン視点で、オリーサへの基本方針と対面カテゴリまでは無料で確認できる。,オリーサへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Sigma,ソジョーン視点で、シグマへの基本方針と対面カテゴリまでは無料で確認できる。,シグマへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Reinhardt,ソジョーン視点で、ラインハルトへの基本方針と対面カテゴリまでは無料で確認できる。,ラインハルトへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Ashe,ソジョーン視点で、アッシュへの基本方針と対面カテゴリまでは無料で確認できる。,アッシュへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Widowmaker,ソジョーン視点で、ウィドウメイカーへの基本方針と対面カテゴリまでは無料で確認できる。,ウィドウメイカーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Emre,ソジョーン視点で、エムレへの基本方針と対面カテゴリまでは無料で確認できる。,エムレへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Cassidy,ソジョーン視点で、キャスディへの基本方針と対面カテゴリまでは無料で確認できる。,キャスディへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Sojourn,ソジョーン視点で、ソジョーンへの基本方針と対面カテゴリまでは無料で確認できる。,ソジョーンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Soldier: 76,ソジョーン視点で、ソルジャー76への基本方針と対面カテゴリまでは無料で確認できる。,ソルジャー76への有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Hanzo,ソジョーン視点で、ハンゾーへの基本方針と対面カテゴリまでは無料で確認できる。,ハンゾーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Freja,ソジョーン視点で、フレイヤへの基本方針と対面カテゴリまでは無料で確認できる。,フレイヤへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Anran,ソジョーン視点で、アンランへの基本方針と対面カテゴリまでは無料で確認できる。,アンランへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Genji,ソジョーン視点で、ゲンジへの基本方針と対面カテゴリまでは無料で確認できる。,ゲンジへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Shion,ソジョーン視点で、シオンへの基本方針と対面カテゴリまでは無料で確認できる。,シオンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Sombra,ソジョーン視点で、ソンブラへの基本方針と対面カテゴリまでは無料で確認できる。,ソンブラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Tracer,ソジョーン視点で、トレーサーへの基本方針と対面カテゴリまでは無料で確認できる。,トレーサーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Venture,ソジョーン視点で、ベンチャーへの基本方針と対面カテゴリまでは無料で確認できる。,ベンチャーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Reaper,ソジョーン視点で、リーパーへの基本方針と対面カテゴリまでは無料で確認できる。,リーパーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Vendetta,ソジョーン視点で、ヴェンデッタへの基本方針と対面カテゴリまでは無料で確認できる。,ヴェンデッタへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Echo,ソジョーン視点で、エコーへの基本方針と対面カテゴリまでは無料で確認できる。,エコーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Pharah,ソジョーン視点で、ファラへの基本方針と対面カテゴリまでは無料で確認できる。,ファラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Symmetra,ソジョーン視点で、シンメトラへの基本方針と対面カテゴリまでは無料で確認できる。,シンメトラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Junkrat,ソジョーン視点で、ジャンクラットへの基本方針と対面カテゴリまでは無料で確認できる。,ジャンクラットへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Torbjörn,ソジョーン視点で、トールビョーンへの基本方針と対面カテゴリまでは無料で確認できる。,トールビョーンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Bastion,ソジョーン視点で、バスティオンへの基本方針と対面カテゴリまでは無料で確認できる。,バスティオンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Mei,ソジョーン視点で、メイへの基本方針と対面カテゴリまでは無料で確認できる。,メイへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Illari,ソジョーン視点で、イラリーへの基本方針と対面カテゴリまでは無料で確認できる。,イラリーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Jetpack Cat,ソジョーン視点で、ジェットパック・キャットへの基本方針と対面カテゴリまでは無料で確認できる。,ジェットパック・キャットへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Juno,ソジョーン視点で、ジュノへの基本方針と対面カテゴリまでは無料で確認できる。,ジュノへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Baptiste,ソジョーン視点で、バティストへの基本方針と対面カテゴリまでは無料で確認できる。,バティストへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Mercy,ソジョーン視点で、マーシーへの基本方針と対面カテゴリまでは無料で確認できる。,マーシーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Lifeweaver,ソジョーン視点で、ライフウィーバーへの基本方針と対面カテゴリまでは無料で確認できる。,ライフウィーバーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Kiriko,ソジョーン視点で、キリコへの基本方針と対面カテゴリまでは無料で確認できる。,キリコへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Brigitte,ソジョーン視点で、ブリギッテへの基本方針と対面カテゴリまでは無料で確認できる。,ブリギッテへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Moira,ソジョーン視点で、モイラへの基本方針と対面カテゴリまでは無料で確認できる。,モイラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Lúcio,ソジョーン視点で、ルシオへの基本方針と対面カテゴリまでは無料で確認できる。,ルシオへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Ana,ソジョーン視点で、アナへの基本方針と対面カテゴリまでは無料で確認できる。,アナへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Wuyang,ソジョーン視点で、ウーヤンへの基本方針と対面カテゴリまでは無料で確認できる。,ウーヤンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Zenyatta,ソジョーン視点で、ゼニヤッタへの基本方針と対面カテゴリまでは無料で確認できる。,ゼニヤッタへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Sojourn,Mizuki,ソジョーン視点で、ミズキへの基本方針と対面カテゴリまでは無料で確認できる。,ミズキへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,D.Va,キャスディ視点で、D.Vaへの基本方針と対面カテゴリまでは無料で確認できる。,D.Vaへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Winston,キャスディ視点で、ウィンストンへの基本方針と対面カテゴリまでは無料で確認できる。,ウィンストンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Doomfist,キャスディ視点で、ドゥームフィストへの基本方針と対面カテゴリまでは無料で確認できる。,ドゥームフィストへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Hazard,キャスディ視点で、ハザードへの基本方針と対面カテゴリまでは無料で確認できる。,ハザードへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Wrecking Ball,キャスディ視点で、レッキング・ボールへの基本方針と対面カテゴリまでは無料で確認できる。,レッキング・ボールへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Zarya,キャスディ視点で、ザリアへの基本方針と対面カテゴリまでは無料で確認できる。,ザリアへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Junker Queen,キャスディ視点で、ジャンカー・クイーンへの基本方針と対面カテゴリまでは無料で確認できる。,ジャンカー・クイーンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Domina,キャスディ視点で、ドミナへの基本方針と対面カテゴリまでは無料で確認できる。,ドミナへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Mauga,キャスディ視点で、マウガへの基本方針と対面カテゴリまでは無料で確認できる。,マウガへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Ramattra,キャスディ視点で、ラマットラへの基本方針と対面カテゴリまでは無料で確認できる。,ラマットラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Roadhog,キャスディ視点で、ロードホッグへの基本方針と対面カテゴリまでは無料で確認できる。,ロードホッグへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Orisa,キャスディ視点で、オリーサへの基本方針と対面カテゴリまでは無料で確認できる。,オリーサへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Sigma,キャスディ視点で、シグマへの基本方針と対面カテゴリまでは無料で確認できる。,シグマへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Reinhardt,キャスディ視点で、ラインハルトへの基本方針と対面カテゴリまでは無料で確認できる。,ラインハルトへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Ashe,キャスディ視点で、アッシュへの基本方針と対面カテゴリまでは無料で確認できる。,アッシュへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Widowmaker,キャスディ視点で、ウィドウメイカーへの基本方針と対面カテゴリまでは無料で確認できる。,ウィドウメイカーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
Cassidy,Emre,キャスディ視点で、エムレへの基本方針と対面カテゴリまでは無料で確認できる。,エムレへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。
