hero_id,ashe_comp_stats.threat_ashe,ashe_comp_stats.dynamite_value,ashe_comp_stats.coach_gun_value,ashe_comp_stats.viper_value,ashe_comp_stats.bob_denial,ashe_comp_stats.highground_value,ashe_comp_stats.matchup_rating,ashe_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.dynamite_check,key_enemy_skills.bob_check,diagnosis_snippets.positioning,diagnosis_snippets.target_priority,diagnosis_snippets.dynamite_policy,diagnosis_snippets.bob_condition,ashe_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cross_target_recalibration.diff_points,source_status,source_note,cross_target_recalibration,torbjorn_reassessment_note
D.Va,10,7,8,8,10,8,5,7,"[""close_or_dive_pressure"", ""aerial_control"", ""dynamite_value"", ""bob_must_check""]","[""ディフェンス・マトリックス"", ""ブースター"", ""自爆""]","[""ブースター""]","[""ディフェンス・マトリックス"", ""ブースター""]","[""ディフェンス・マトリックス"", ""自爆""]",D.Va相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ブースターで高台へ接近するかサポートへ攻撃を仕掛けた直後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはD.Va本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ディフェンス・マトリックス、自爆を確認してからB.O.Bを出す。,,,,,,,,,,,,,
Winston,10,8,9,6,6,7,4,8,"[""close_or_dive_pressure"", ""dynamite_value""]","[""バリア・プロジェクター"", ""ジャンプ・パック"", ""テスラ・キャノン""]","[""ジャンプ・パック""]","[""バリア・プロジェクター"", ""ジャンプ・パック""]","[""バリア・プロジェクター"", ""テスラ・キャノン""]",ウィンストン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ジャンプ・パック着地後、バリア・プロジェクターの内外が分かれた瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはウィンストン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,バリア・プロジェクター、テスラ・キャノンを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Doomfist,10,7,10,6,6,7,2,7,"[""close_or_dive_pressure"", ""dynamite_value""]","[""パワー・ブロック"", ""サイズミック・スラム"", ""ロケット・パンチ""]","[""サイズミック・スラム"", ""ロケット・パンチ""]","[""パワー・ブロック"", ""サイズミック・スラム""]","[""パワー・ブロック"", ""ロケット・パンチ""]",ドゥームフィスト相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「パワー・ブロック後、パンチを使って味方側へ入った瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはドゥームフィスト本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,パワー・ブロック、ロケット・パンチを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Hazard,10,8,8,6,6,5,4,8,"[""close_or_dive_pressure"", ""dynamite_value""]","[""スパイク・ガード"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""スパイク・ガード"", ""ヴァイオレント・リープ""]","[""スパイク・ガード"", ""ジャギー・ウォール""]",ハザード相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ジャギー・ウォールで退路を切られる前後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはハザード本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,スパイク・ガード、ジャギー・ウォールを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Wrecking Ball,10,7,10,6,6,7,2,7,"[""close_or_dive_pressure"", ""dynamite_value""]","[""アダプティブ・シールド"", ""グラップリング・クロー"", ""ロール""]","[""グラップリング・クロー"", ""ロール"", ""パイルドライバー""]","[""アダプティブ・シールド"", ""グラップリング・クロー"", ""ロール""]","[""アダプティブ・シールド"", ""パイルドライバー""]",レッキング・ボール相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「パイルドライバー後、またはグラップリング・クローで止まった瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはレッキング・ボール本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,アダプティブ・シールド、パイルドライバーを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Zarya,7,10,6,4,9,5,5,6,"[""dynamite_value"", ""bob_must_check""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]","[""パーティクル・バリア"", ""バリア・ショット""]","[""バリア・ショット"", ""パーティクル・バリア""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]",ザリア相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「パーティクル・バリアが切れた直後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはザリア本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,パーティクル・バリア、バリア・ショット、グラビトン・サージを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Junker Queen,8,10,8,4,6,5,4,7,"[""close_or_dive_pressure"", ""dynamite_value""]","[""コマンディング・シャウト"", ""ランペイジ""]","[""ギザギザブレード"", ""カーネイジ""]","[""コマンディング・シャウト""]","[""コマンディング・シャウト"", ""ランペイジ""]",ジャンカー・クイーン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「コマンディング・シャウトで詰めた後、射程に入った瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはジャンカー・クイーン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コマンディング・シャウト、ランペイジを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Domina,8,9,6,4,6,5,5,7,"[""close_or_dive_pressure"", ""dynamite_value""]","[""バリア・アレイ"", ""パノプティコン""]","[""クリスタル・チャージ"", ""ソニック・リパルサー""]","[""バリア・アレイ""]","[""バリア・アレイ"", ""パノプティコン""]",ドミナ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「クリスタル・チャージ、ソニック・リパルサーの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはドミナ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,バリア・アレイ、パノプティコンを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Mauga,7,10,8,4,8,5,5,6,"[""dynamite_value"", ""bob_must_check""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]","[""オーバーラン""]","[""カーディアック・オーバードライブ""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]",マウガ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「カーディアック・オーバードライブ中に味方が正面で受けている時」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはマウガ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,カーディアック・オーバードライブ、ケージ・ファイトを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Ramattra,8,10,8,4,6,5,5,7,"[""close_or_dive_pressure"", ""dynamite_value""]","[""ヴォイド・バリア"", ""ブロック"", ""アナイアレーション""]","[""ネメシス・フォーム"", ""貪欲な渦""]","[""ヴォイド・バリア"", ""ブロック""]","[""ヴォイド・バリア"", ""ブロック"", ""アナイアレーション""]",ラマットラ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ネメシス・フォームで正面のスペースへ入る瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはラマットラ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ヴォイド・バリア、ブロック、アナイアレーションを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Roadhog,8,10,8,4,8,5,5,7,"[""close_or_dive_pressure"", ""dynamite_value"", ""bob_must_check""]","[""テイク・ア・ブリーザー"", ""チェイン・フック""]","[""チェイン・フック"", ""ピッグペン""]","[""テイク・ア・ブリーザー""]","[""テイク・ア・ブリーザー"", ""チェイン・フック""]",ロードホッグ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「チェイン・フックを外した直後、またはテイク・ア・ブリーザー使用中」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはロードホッグ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,テイク・ア・ブリーザー、チェイン・フックを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Orisa,7,10,6,4,10,5,5,6,"[""dynamite_value"", ""bob_must_check""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]","[""エネルギー・ジャベリン""]","[""フォーティファイ"", ""ジャベリン・スピン""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]",オリーサ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ジャベリン・スピン後、フォーティファイが切れた後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはオリーサ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,フォーティファイ、ジャベリン・スピン、エネルギー・ジャベリンを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Sigma,7,10,6,4,10,5,5,6,"[""dynamite_value"", ""bob_must_check""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]","[""アクリーション""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]",シグマ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「キネティック・グラスプ後、エクスペリメンタル・バリアの位置がずれた瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはシグマ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,エクスペリメンタル・バリア、キネティック・グラスプ、アクリーションを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Reinhardt,7,10,8,4,8,5,5,6,"[""dynamite_value"", ""bob_must_check""]","[""バリア・フィールド"", ""アースシャター""]","[""チャージ""]","[""バリア・フィールド""]","[""バリア・フィールド"", ""アースシャター""]",ラインハルト相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「バリア・フィールドが割れかけた時、またはチャージ後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはラインハルト本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,バリア・フィールド、アースシャターを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Ashe,7,8,7,7,6,8,5,6,"[""long_sightline_duel"", ""cross_target_recalibrated_v41"", ""mirror_matchup_v41""]","[""ダイナマイト"", ""コーチ・ガン"", ""B.O.B""]","[""コーチ・ガン"", ""ダイナマイト""]",,"[""コーチ・ガン"", ""遮蔽位置""]",アッシュ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「相手アッシュがダイナマイトを投げた直後、またはスコープで同じ位置を覗いた瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,アッシュミラーは、ダイナマイトを先に当てた側が高台と遮蔽を動かしやすい。コーチ・ガンは逃げではなく、高台再確保と距離作りに残す。,ダイナマイトはアッシュ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,B.O.Bを確認してからB.O.Bを出す。,True,アッシュミラーは、ダイナマイトを先に当てた側が高台と遮蔽を動かしやすい。コーチ・ガンは逃げではなく、高台再確保と距離作りに残す。,アッシュミラーは、ダイナマイトを先に当てた側が高台と遮蔽を動かしやすい。コーチ・ガンは逃げではなく、高台再確保と距離作りに残す。,ダイナマイトを先に当てる / コーチ・ガンを高台再確保に残す / ザ・ヴァイパーで同じ射線を見続けない,v41,7,5,ダイナマイト・高台差,"[""ダイナマイトを先に当てる"", ""コーチ・ガンを高台再確保に残す"", ""ザ・ヴァイパーで同じ射線を見続けない""]",,,,
Widowmaker,10,6,7,7,5,6,2,8,"[""long_sightline_duel""]","[""グラップリング・フック"", ""ウィドウズ・キス""]","[""グラップリング・フック"", ""ヴェノム・マイン""]","[""グラップリング・フック""]","[""ウィドウズ・キス""]",ウィドウメイカー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ウィドウメイカーが別射線へ移る前、またはグラップリング・フック後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはウィドウメイカー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ウィドウズ・キスを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Emre,8,6,7,6,5,5,5,7,"[""standard_midrange_control""]","[""オルタード・バイタル"", ""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル""]","[""オルタード・バイタル"", ""サイバー・フラグ""]","[""オルタード・バイタル""]","[""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル""]",エムレ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「オルタード・バイタル、サイバー・フラグの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはエムレ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,シンセティック・バースト・ライフル、オーバーライド・プロトコルを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Cassidy,6,6,6,6,5,5,5,6,"[""standard_midrange_control"", ""cross_target_recalibrated_v41""]","[""コンバット・ロール"", ""デッド・アイ""]","[""コンバット・ロール"", ""フラッシュバン""]","[""コンバット・ロール""]","[""デッド・アイ""]",キャスディ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「コンバット・ロール後、またはフラッシュバンを使った後」。長く覗かず、撃った後は遮蔽へ戻る。,キャスディに近距離を渡さない。アッシュはフラッシュバン圏外を保ち、ダイナマイトで先に体力を削る。,ダイナマイトはキャスディ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,デッド・アイを確認してからB.O.Bを出す。,,,キャスディに近距離を渡さない。アッシュはフラッシュバン圏外を保ち、ダイナマイトで先に体力を削る。,,v41,6,5,中距離距離管理,,,,,
Sojourn,9,6,8,6,5,7,4,8,"[""standard_midrange_control"", ""cross_target_recalibrated_v41""]","[""パワー・スライド"", ""レールガン"", ""オーバークロック""]","[""パワー・スライド"", ""ディスラプター・ショット""]","[""パワー・スライド""]","[""レールガン"", ""オーバークロック""]",ソジョーン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「パワー・スライド後、レールガンを撃った直後」。長く覗かず、撃った後は遮蔽へ戻る。,ソジョーンのレールガンが最も危険。アッシュは同じ位置に止まらず、ダイナマイトとコーチ・ガンで位置をずらす。,ダイナマイトはソジョーン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,レールガン、オーバークロックを確認してからB.O.Bを出す。,,,ソジョーンのレールガンが最も危険。アッシュは同じ位置に止まらず、ダイナマイトとコーチ・ガンで位置をずらす。,,v41,9,4,レールガン最警戒,,,,,
Soldier: 76,5,6,7,6,5,5,6,4,"[""standard_midrange_control"", ""cross_target_recalibrated_v41""]","[""バイオティック・フィールド"", ""スプリント"", ""タクティカル・バイザー""]","[""スプリント"", ""ヘリックス・ロケット""]","[""バイオティック・フィールド"", ""スプリント""]","[""バイオティック・フィールド"", ""タクティカル・バイザー""]",ソルジャー76相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「バイオティック・フィールド使用後、同じ高台で撃ち続ける瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ソルジャー76には近すぎる距離を渡さない。アッシュは高台と長い射線を使い、ヘリックス・ロケット後にザ・ヴァイパーで削る。,ダイナマイトはソルジャー76本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,バイオティック・フィールド、タクティカル・バイザーを確認してからB.O.Bを出す。,,,ソルジャー76には近すぎる距離を渡さない。アッシュは高台と長い射線を使い、ヘリックス・ロケット後にザ・ヴァイパーで削る。,,v41,5,6,距離維持・高台管理,,,,,
Hanzo,8,6,7,7,5,6,5,6,"[""long_sightline_duel"", ""cross_target_recalibrated_v41""]","[""体術"", ""壁登り"", ""龍撃波""]","[""体術"", ""壁登り"", ""電光石火""]","[""体術"", ""壁登り""]",[],ハンゾー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ハンゾーが遮蔽から出て嵐ノ弓を引き切る瞬間、または体術後」。長く覗かず、撃った後は遮蔽へ戻る。,ハンゾーは一発の圧が高い。アッシュは同じ射線で撃ち合わず、ダイナマイトで遮蔽裏を動かしてから撃つ。,ダイナマイトはハンゾー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,龍撃波を確認してからB.O.Bを出す。,,,ハンゾーは一発の圧が高い。アッシュは同じ射線で撃ち合わず、ダイナマイトで遮蔽裏を動かしてから撃つ。,,v41,8,5,遠距離ポーク勝負,,,,,
Freja,10,6,8,7,5,8,4,8,"[""long_sightline_duel""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット""]","[""クイック・ダッシュ"", ""アップドラフト""]","[""ボーラ・ショット""]",フレイヤ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「クイック・ダッシュ、アップドラフトの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはフレイヤ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ボーラ・ショットを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Anran,10,6,10,6,5,5,2,7,"[""close_or_dive_pressure""]","[""熠閃舞"", ""朱魂返"", ""焚身焔""]","[""熠閃舞"", ""朱魂返"", ""怒炎衝""]","[""熠閃舞"", ""朱魂返""]","[""焚身焔""]",アンラン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「熠閃舞、朱魂返の後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはアンラン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,焚身焔を確認してからB.O.Bを出す。,,,,,,,,,,,,,
