hero_id,cassidy_comp_stats.threat_cassidy,cassidy_comp_stats.flashbang_value,cassidy_comp_stats.roll_pressure,cassidy_comp_stats.peacemaker_value,cassidy_comp_stats.deadeye_denial,cassidy_comp_stats.peel_value,cassidy_comp_stats.matchup_rating,cassidy_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.deadeye_check,key_enemy_skills.flashbang_target,diagnosis_snippets.positioning,diagnosis_snippets.target_priority,diagnosis_snippets.flashbang_policy,diagnosis_snippets.deadeye_condition,diagnosis_snippets.forbidden,diagnosis_snippets.cross_target_note,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cassidy_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.diff_points,source_status,provisional_note,cross_target_recalibration,torbjorn_reassessment_note
Genji,8,9,8,4,8,9,6,8,"[""dive_or_close_pressure"", ""flashbang_high_value"", ""deadeye_must_check""]","[""風斬り"", ""木の葉返し"", ""龍撃剣""]","[""木の葉返し後"", ""風斬り後""]","[""風斬り"", ""木の葉返し"", ""龍撃剣""]","[""風斬り後"", ""木の葉返し後"", ""味方サポートへ入った瞬間""]",風斬りで入る先を見て、中距離の遮蔽から待つ。木の葉返し中は無理に撃たず、終了直後か接近確定に合わせる。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,木の葉返し中は撃ち切らない。風斬りで距離を詰めた後、または木の葉返し終了直後にフラッシュバンを合わせる。,木の葉返し、風斬り、龍撃剣を確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,,,,
Shion,7,8,8,4,6,8,5,7,"[""dive_or_close_pressure"", ""flashbang_high_value""]","[""凶走"", ""回避"", ""罰""]","[""凶走"", ""回避""]","[""回避"", ""凶走"", ""殺戮""]","[""凶走後"", ""回避後""]",シオンが横から入るダイブ経路を見て、味方側へ戻れる遮蔽付近で待つ。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,接近前の先投げは避ける。移動スキル後、または味方サポートへ入った近距離でフラッシュバンを使う。,回避か凶走を見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,provisional,シオンは実装直後で情報が薄いため、対面評価は暫定です。スキル名は現在実装されている名称で記載しています。,,
Sombra,8,8,8,4,9,8,5,7,"[""dive_or_close_pressure"", ""flashbang_high_value"", ""deadeye_must_check""]","[""ハック"", ""ステルス"", ""トランズロケーター"", ""EMP""]","[""ハック"", ""トランズロケーター"", ""ステルス"", ""EMP""]","[""ハック"", ""EMP"", ""トランズロケーター""]","[""ハック後"", ""トランズロケーター使用後""]",味方サポート付近の側面ルートを見られる位置で待つ。ハック開始時は削りを待たず、当てられるならフラッシュバンか射撃で中断する。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,ハック開始中に姿が見えたら、体力削りを待たずにフラッシュバンか射撃で中断する。成立後は深追いせず遮蔽で解除を待つ。,ハック、EMP、トランズロケーターを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,,,,
Tracer,9,10,9,4,8,10,6,9,"[""dive_or_close_pressure"", ""flashbang_high_value"", ""deadeye_must_check""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]","[""リコール後"", ""ブリンクを複数使った後""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]","[""リコール後"", ""ブリンクを複数使った後"", ""味方サポートへ入った瞬間""]",味方サポートへ入るダイブ経路を中距離で見る。ブリンク直後の着地位置を待ち、リコール後の逃げ先が限られた時に止める。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,ブリンク前に先投げしない。近距離に入った後、またはリコール後の逃げ先が限られた時にフラッシュバンを使う。,リコール、ブリンク、パルス・ボムを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,,,,
Venture,8,8,8,6,7,8,6,8,"[""dive_or_close_pressure"", ""flashbang_high_value""]","[""バロー"", ""ドリル・ダッシュ"", ""テクトニック・ショック""]","[""バロー"", ""ドリル・ダッシュ""]","[""バロー"", ""ドリル・ダッシュ"", ""テクトニック・ショック""]","[""バロー後"", ""ドリル・ダッシュ後""]",ベンチャーが横から入るダイブ経路を見て、味方側へ戻れる遮蔽付近で待つ。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,接近前の先投げは避ける。移動スキル後、または味方サポートへ入った近距離でフラッシュバンを使う。,バロー、ドリル・ダッシュ、テクトニック・ショックを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,,,,
Reaper,7,8,7,7,7,8,7,5,"[""dive_or_close_pressure"", ""flashbang_high_value"", ""cross_target_recalibrated_v41""]","[""レイス・フォーム"", ""シャドウ・ステップ"", ""デス・ブロッサム""]","[""レイス・フォーム"", ""シャドウ・ステップ""]","[""レイス・フォーム"", ""シャドウ・ステップ"", ""デス・ブロッサム""]","[""レイス・フォーム後"", ""近距離に出た瞬間"", ""シャドウ・ステップ""]",角の距離を広めに取り、レイス・フォームを使わせるまで近距離へ入りすぎない。,リーパーは接近されると危険だが、キャスディはフラッシュバンで止めやすい。近距離迎撃用にフラッシュバンを残す。,レイス・フォームが残っている時は無理に使わない。レイス・フォーム後の戻り先、または味方へ入った近距離で使う。,レイス・フォーム、シャドウ・ステップ、デス・ブロッサムを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,リーパーは接近されると危険だが、キャスディはフラッシュバンで止めやすい。近距離迎撃用にフラッシュバンを残す。,v41,7,7,近距離迎撃,,,,,,,,
Vendetta,6,8,8,7,5,8,6,7,"[""dive_or_close_pressure"", ""flashbang_high_value""]","[""ソアリング・スライス"", ""ワールウィンド""]","[""ワールウィンド"", ""ソアリング・スライス""]","[""ワールウィンド""]","[""奇襲ルートから出た瞬間"", ""ソアリング・スライス"", ""ワールウィンド""]",ヴェンデッタが横から入るダイブ経路を見て、味方側へ戻れる遮蔽付近で待つ。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,接近前の先投げは避ける。移動スキル後、または味方サポートへ入った近距離でフラッシュバンを使う。,ワールウィンドを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,,,,
Echo,8,3,7,4,5,3,5,5,"[""dive_or_close_pressure"", ""cover_duel"", ""aerial_tracking""]","[""フライト"", ""スティッキー・ボム"", ""フォーカス・ビーム"", ""コピー""]","[""フライト"", ""スティッキー・ボム"", ""フォーカス・ビーム""]","[""フライト"", ""コピー""]","[""着地または低空移動"", ""スティッキー・ボム"", ""フォーカス・ビーム"", ""フライト""]",エコーを真下から追わず、低空・着地・味方へ寄った瞬間を中距離から見る。,孤立・移動スキル後・遮蔽から出た瞬間を優先して撃つ。,空中の遠い相手にフラッシュバンを狙いすぎない。低空、着地、接近時だけ使い、それ以外はピースキーパーで圧をかける。,フライト、コピーを見てから、空中の逃げ先が限られたタイミングで使う。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Pharah,7,2,6,5,4,2,5,4,"[""cover_duel"", ""aerial_tracking""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ"", ""コンカッシブ・ブラスト"", ""バレッジ""]","[""ジェット・ダッシュ"", ""コンカッシブ・ブラスト"", ""ジャンプ・ジェット""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ"", ""バレッジ""]","[""低空で詰めた瞬間"", ""コンカッシブ・ブラスト"", ""ジャンプ・ジェット"", ""ジェット・ダッシュ""]",ファラを真下から追わず、低空・着地・味方へ寄った瞬間を中距離から見る。,孤立・移動スキル後・遮蔽から出た瞬間を優先して撃つ。,空中の遠い相手にフラッシュバンを狙いすぎない。低空、着地、接近時だけ使い、それ以外はピースキーパーで圧をかける。,ジャンプ・ジェット、ジェット・ダッシュ、バレッジを見てから、空中の逃げ先が限られたタイミングで使う。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Symmetra,6,5,5,8,8,5,6,5,"[""deadeye_must_check"", ""cross_target_recalibrated_v41""]","[""セントリー・タレット"", ""テレポーター"", ""フォトン・バリア""]","[""テレポーター"", ""セントリー・タレット"", ""フォトン・バリア""]","[""フォトン・バリア"", ""テレポーター""]","[""テレポーター後の近距離展開"", ""セントリー・タレット"", ""テレポーター""]",シンメトラの得意距離に長く立たず、遮蔽からピースキーパーを当てる。,シンメトラのビーム距離へ入らない。キャスディはセントリー・タレットを先に壊し、中距離からピースキーパーで削る。,フラッシュバンは先投げしない。接近が確定した時、逃げ先が限られた時、味方を守る時だけ使う。,フォトン・バリア、テレポーターを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,敵の防御・救助アビリティが残ったままデッド・アイを正面で撃たない。,シンメトラのビーム距離へ入らない。キャスディはセントリー・タレットを先に壊し、中距離からピースキーパーで削る。,v41,6,6,設置物処理・距離維持,,,,,,,,
Junkrat,7,5,6,6,4,4,5,5,[],"[""スティール・トラップ"", ""コンカッション・マイン"", ""RIPタイヤ""]","[""コンカッション・マイン"", ""スティール・トラップ""]","[""コンカッション・マイン"", ""RIPタイヤ""]","[""コンカッション・マイン後"", ""スティール・トラップ""]",ジャンクラットの得意距離に長く立たず、遮蔽からピースキーパーを当てる。,孤立・移動スキル後・遮蔽から出た瞬間を優先して撃つ。,フラッシュバンは先投げしない。接近が確定した時、逃げ先が限られた時、味方を守る時だけ使う。,コンカッション・マイン、RIPタイヤを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Torbjörn,5,3,4,8,5,4,6,5,[],"[""タレット"", ""オーバーロード"", ""モルテン・コア""]","[""オーバーロード"", ""タレット""]","[""オーバーロード"", ""タレット"", ""モルテン・コア""]","[""オーバーロード後"", ""タレット""]",トールビョーンの得意距離に長く立たず、遮蔽からピースキーパーを当てる。,孤立・移動スキル後・遮蔽から出た瞬間を優先して撃つ。,フラッシュバンは先投げしない。接近が確定した時、逃げ先が限られた時、味方を守る時だけ使う。,オーバーロード、タレット設置、モルテン・コアを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,v47_torbjorn_db_applied,トールビョーンDB v1統合時に、タレット設置・オーバーロード・モルテン・コアの表記と確認タイミングを再点検。
Bastion,6,3,5,9,3,2,7,5,"[""cover_duel""]","[""強襲モード"", ""A-36タクティカル・グレネード"", ""砲台モード""]","[""強襲モード"", ""A-36タクティカル・グレネード""]","[""強襲モード"", ""砲台モード""]","[""強襲モード終了後"", ""A-36タクティカル・グレネード""]",バスティオンが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻る。,孤立・移動スキル後・遮蔽から出た瞬間を優先して撃つ。,フラッシュバンは接近時の保険。遠距離では無理に狙わず、遮蔽からピースキーパーを1発ずつ撃つ。,強襲モード、砲台モードを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Mei,6,5,6,8,9,7,5,7,"[""deadeye_must_check""]","[""アイス・ウォール"", ""クリオフリーズ"", ""ブリザード""]","[""クリオフリーズ"", ""アイス・ウォール""]","[""アイス・ウォール"", ""クリオフリーズ"", ""ブリザード""]","[""クリオフリーズ後"", ""アイス・ウォール""]",メイの得意距離に長く立たず、遮蔽からピースキーパーを当てる。,孤立・移動スキル後・遮蔽から出た瞬間を優先して撃つ。,フラッシュバンは先投げしない。接近が確定した時、逃げ先が限られた時、味方を守る時だけ使う。,アイス・ウォール、クリオフリーズ、ブリザードを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,敵の防御・救助アビリティが残ったままデッド・アイを正面で撃たない。,,,,,,,,,,,,,
Illari,5,3,4,6,4,3,5,4,"[""cover_duel"", ""support_pick_window""]","[""ヒーリング・パイロン"", ""アウトバースト"", ""キャプティブ・サン""]","[""アウトバースト"", ""ヒーリング・パイロン""]","[""アウトバースト"", ""ヒーリング・パイロン"", ""キャプティブ・サン""]","[""アウトバースト後""]",イラリーが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻る。,回復の要。遮蔽から出た瞬間に2発で圧をかけ、逃げスキル後に詰める。,フラッシュバンは接近時の保険。遠距離では無理に狙わず、遮蔽からピースキーパーを1発ずつ撃つ。,アウトバースト、ヒーリング・パイロン、キャプティブ・サンを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Jetpack Cat,6,4,6,5,7,5,5,5,"[""dive_or_close_pressure"", ""aerial_tracking"", ""support_pick_window""]","[""ワイルド・フライト"", """"]","[""ワイルド・フライト"", """"]","[""""]","[""低空移動スキル使用後"", ""ワイルド・フライト""]",ジェットパック・キャットを真下から追わず、低空・着地・味方へ寄った瞬間を中距離から見る。,回復の要。遮蔽から出た瞬間に2発で圧をかけ、逃げスキル後に詰める。,空中の遠い相手にフラッシュバンを狙いすぎない。低空、着地、接近時だけ使い、それ以外はピースキーパーで圧をかける。,ワイルド・フライトを見てから、空中の逃げ先が限られたタイミングで使う。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Juno,6,4,6,5,7,6,5,6,"[""dive_or_close_pressure"", ""aerial_tracking"", ""deadeye_must_check"", ""support_pick_window""]","[""グライド・ブースト"", ""ハイパーリング"", ""パルサー・トーピード"", ""オービタル・レイ""]","[""グライド・ブースト"", ""ハイパーリング"", ""オービタル・レイ"", ""パルサー・トーピード""]","[""グライド・ブースト"", ""オービタル・レイ"", ""ハイパーリング""]","[""グライド・ブースト後"", ""パルサー・トーピード"", ""ハイパーリング""]",ジュノを無理に追わず、回復や救助に出た位置を中距離から見る。,回復の要。遮蔽から出た瞬間に2発で圧をかけ、逃げスキル後に詰める。,逃げスキルや救助スキルの後、近距離で逃げ先が限られた時に使う。通常はピースキーパーで圧をかける。,グライド・ブースト、オービタル・レイ、ハイパーリングを見てから、空中の逃げ先が限られたタイミングで使う。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Baptiste,5,3,4,6,10,4,5,5,"[""cover_duel"", ""deadeye_must_check"", ""support_pick_window""]","[""イモータリティ・フィールド"", ""リジェネ・バースト"", """", ""アンプリフィケーション・マトリックス""]","[""イモータリティ・フィールド"", ""リジェネ・バースト"", """"]","[""イモータリティ・フィールド"", """"]","[""着地後""]",バティストが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻る。,デッド・アイ前に支援スキルを使わせる優先対象。倒せなくてもスキルを使わせれば十分。,フラッシュバンは接近時の保険。遠距離では無理に狙わず、遮蔽からピースキーパーを1発ずつ撃つ。,イモータリティ・フィールドを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,敵の防御・救助アビリティが残ったままデッド・アイを正面で撃たない。,,,,,,,,,,,,,
Mercy,5,4,5,5,7,5,6,5,"[""aerial_tracking"", ""deadeye_must_check"", ""support_pick_window""]","[""ガーディアン・エンジェル"", ""蘇生"", ""ヴァルキリー""]","[""ガーディアン・エンジェル"", ""蘇生""]","[""ガーディアン・エンジェル"", ""ヴァルキリー"", ""蘇生""]","[""蘇生中"", ""ガーディアン・エンジェル後""]",マーシーを無理に追わず、回復や救助に出た位置を中距離から見る。,回復の要。遮蔽から出た瞬間に2発で圧をかけ、逃げスキル後に詰める。,逃げスキルや救助スキルの後、近距離で逃げ先が限られた時に使う。通常はピースキーパーで圧をかける。,ガーディアン・エンジェル、ヴァルキリー、蘇生を見てから、空中の逃げ先が限られたタイミングで使う。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Lifeweaver,4,3,3,6,9,4,6,5,"[""deadeye_must_check"", ""support_pick_window""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""若返りの風"", ""命の樹""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""若返りの風"", ""命の樹""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""命の樹""]","[""ライフグリップ後"", ""ペタル・プラットフォーム"", ""若返りの風""]",ライフウィーバーを無理に追わず、回復や救助に出た位置を中距離から見る。,デッド・アイ前に支援スキルを使わせる優先対象。倒せなくてもスキルを使わせれば十分。,逃げスキルや救助スキルの後、近距離で逃げ先が限られた時に使う。通常はピースキーパーで圧をかける。,ライフグリップ、ペタル・プラットフォーム、命の樹を確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,敵の防御・救助アビリティが残ったままデッド・アイを正面で撃たない。,,,,,,,,,,,,,
Kiriko,7,5,5,5,10,6,4,6,"[""dive_or_close_pressure"", ""deadeye_must_check"", ""support_pick_window""]","[""鈴のご加護"", ""神出鬼没"", ""狐走り""]","[""鈴のご加護"", ""神出鬼没""]","[""鈴のご加護"", ""神出鬼没"", ""狐走り""]","[""鈴のご加護後"", ""神出鬼没後""]",キリコを無理に追わず、回復や救助に出た位置を中距離から見る。,デッド・アイ前に支援スキルを使わせる優先対象。倒せなくてもスキルを使わせれば十分。,逃げスキルや救助スキルの後、近距離で逃げ先が限られた時に使う。通常はピースキーパーで圧をかける。,鈴のご加護、神出鬼没、狐走りを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,敵の防御・救助アビリティが残ったままデッド・アイを正面で撃たない。,,,,,,,,,,,,,
Brigitte,6,6,5,8,7,7,5,7,[],"[""バリア・シールド"", ""シールド・バッシュ"", ""ウィップ・ショット"", ""ラリー""]","[""シールド・バッシュ"", ""バリア・シールド"", ""ラリー"", ""リペア・パック""]","[""バリア・シールド"", ""ラリー"", ""リペア・パック""]","[""シールド・バッシュ後"", ""ウィップ・ショット""]",ブリギッテを無理に追わず、回復や救助に出た位置を中距離から見る。,孤立・移動スキル後・遮蔽から出た瞬間を優先して撃つ。,逃げスキルや救助スキルの後、近距離で逃げ先が限られた時に使う。通常はピースキーパーで圧をかける。,バリア・シールド、ラリー、リペア・パックを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Moira,6,7,6,6,6,7,6,6,"[""flashbang_high_value"", ""support_pick_window""]","[""フェード"", ""バイオティック・オーブ"", ""コアレッセンス""]","[""フェード"", ""バイオティック・オーブ""]","[""フェード"", ""コアレッセンス""]","[""フェード後"", ""バイオティック・オーブ""]",モイラを無理に追わず、回復や救助に出た位置を中距離から見る。,回復の要。遮蔽から出た瞬間に2発で圧をかけ、逃げスキル後に詰める。,逃げスキルや救助スキルの後、近距離で逃げ先が限られた時に使う。通常はピースキーパーで圧をかける。,フェード、コアレッセンスを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Lúcio,7,8,7,6,8,8,5,7,"[""dive_or_close_pressure"", ""flashbang_high_value"", ""deadeye_must_check""]","[""サウンドウェーブ"", ""アンプ・イット・アップ"", ""ウォール・ライド"", ""サウンド・バリア""]","[""サウンドウェーブ"", ""ウォール・ライド"", ""サウンド・バリア"", ""アンプ・イット・アップ""]","[""サウンド・バリア"", ""ウォール・ライド""]","[""ウォール・ライドの着地"", ""サウンドウェーブ後"", ""アンプ・イット・アップ""]",ルシオを無理に追わず、回復や救助に出た位置を中距離から見る。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,逃げスキルや救助スキルの後、近距離で逃げ先が限られた時に使う。通常はピースキーパーで圧をかける。,サウンド・バリア、ウォール・ライドを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,,,,
Ana,6,3,4,7,7,4,6,5,"[""cover_duel"", ""support_pick_window""]","[""スリープ・ダーツ"", ""バイオティック・グレネード"", ""ナノ・ブースト""]","[""スリープ・ダーツ"", ""バイオティック・グレネード""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]","[""スリープ・ダーツ後"", ""バイオティック・グレネード""]",アナが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻る。,回復の要。遮蔽から出た瞬間に2発で圧をかけ、逃げスキル後に詰める。,フラッシュバンは接近時の保険。遠距離では無理に狙わず、遮蔽からピースキーパーを1発ずつ撃つ。,スリープ・ダーツ、ナノ・ブーストを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Wuyang,5,3,4,7,6,4,5,5,"[""cover_duel"", ""deadeye_must_check"", ""support_pick_window""]","[""玄武之杖"", ""養神泉"", ""飛流歩"", ""驚濤破""]","[""飛流歩"", ""驚濤破"", ""養神泉"", ""玄武之杖""]","[""飛流歩"", ""驚濤破"", ""守衛波浪""]","[""飛流歩後"", ""玄武之杖"", ""驚濤破""]",ウーヤンを無理に追わず、回復や救助に出た位置を中距離から見る。,回復の要。遮蔽から出た瞬間に2発で圧をかけ、逃げスキル後に詰める。,逃げスキルや救助スキルの後、近距離で逃げ先が限られた時に使う。通常はピースキーパーで圧をかける。,飛流歩、驚濤破、守衛波浪を見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Zenyatta,5,2,3,7,8,2,7,4,"[""cover_duel"", ""deadeye_must_check"", ""support_pick_window""]","[""不和のオーブ"", ""心頭滅却""]","[""心頭滅却"", ""不和のオーブ""]","[""心頭滅却"", ""不和のオーブ""]","[""近距離に孤立した瞬間"", ""不和のオーブ""]",ゼニヤッタが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻る。,デッド・アイ前に支援スキルを使わせる優先対象。倒せなくてもスキルを使わせれば十分。,フラッシュバンは接近時の保険。遠距離では無理に狙わず、遮蔽からピースキーパーを1発ずつ撃つ。,心頭滅却、不和のオーブを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,敵の防御・救助アビリティが残ったままデッド・アイを正面で撃たない。,,,,,,,,,,,,,
Mizuki,5,3,4,7,7,4,5,5,"[""cover_duel"", ""deadeye_must_check"", ""support_pick_window""]","[""霊域結界"", ""快気の笠"", ""形代"", ""癒しの波動""]","[""霊域結界"", ""快気の笠"", ""形代""]","[""癒しの波動"", ""霊域結界"", ""快気の笠""]","[""形代後""]",ミズキを無理に追わず、回復や救助に出た位置を中距離から見る。,回復の要。遮蔽から出た瞬間に2発で圧をかけ、逃げスキル後に詰める。,逃げスキルや救助スキルの後、近距離で逃げ先が限られた時に使う。通常はピースキーパーで圧をかける。,癒しの波動、霊域結界、快気の笠を見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
