hero_id,reaper_comp_stats.threat_reaper,reaper_comp_stats.close_range_value,reaper_comp_stats.wraith_form_value,reaper_comp_stats.shadow_step_value,reaper_comp_stats.death_blossom_denial,reaper_comp_stats.frontline_pressure_value,reaper_comp_stats.matchup_rating,reaper_comp_stats.priority_score,reaper_comp_stats.self_heal_duel_value,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.death_blossom_check,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.sombra_hack_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.self_heal_policy,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cross_target_recalibration,torbjorn_reassessment_note,reaper_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.diff_points
D.Va,6,8,6,4,6,8,7,7,7,"[""frontline_farm"", ""mobility_threat"", ""self_heal_favorable""]","[""ディフェンス・マトリックス"", ""ブースター""]","[""ブースター"", ""ディフェンス・マトリックス""]","[""ディフェンス・マトリックス"", ""ブースター""]",D.Vaは体が大きく、近距離でヘルファイア・ショットガンを当て続けやすい。相手の継続火力が低い場面では通常射撃の回復込みで有利を作りやすいが、退路のレイス・フォームは残す。,ブースター、ディフェンス・マトリックスの後,デス・ブロッサムはD.Vaのディフェンス・マトリックス、ブースターを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Winston,6,9,6,4,5,9,8,5,8,"[""frontline_farm"", ""mobility_threat"", ""self_heal_favorable""]","[""バリア・プロジェクター"", ""ジャンプ・パック"", ""テスラ・キャノン""]","[""ジャンプ・パック"", ""バリア・プロジェクター""]","[""バリア・プロジェクター"", ""テスラ・キャノン"", ""ジャンプ・パック""]",ウィンストンは体が大きく、近距離でヘルファイア・ショットガンを当て続けやすい。相手の継続火力が低い場面では通常射撃の回復込みで有利を作りやすいが、退路のレイス・フォームは残す。,ジャンプ・パック、バリア・プロジェクターの後,デス・ブロッサムはウィンストンのバリア・プロジェクター、テスラ・キャノン、ジャンプ・パックを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Orisa,5,9,8,5,6,9,8,8,5,"[""frontline_farm""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]","[""エネルギー・ジャベリン"", ""フォーティファイ"", ""ジャベリン・スピン""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]",オリーサはリーパーが圧を出しやすい対象。正面で無理に追い切らず、味方タンクが当たる瞬間に近距離へ入り、ヘルファイア・ショットガンで体力と回復リソースを削る。,エネルギー・ジャベリン、フォーティファイ、ジャベリン・スピンの後,デス・ブロッサムはオリーサのフォーティファイ、ジャベリン・スピン、エネルギー・ジャベリンを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Zarya,3,9,7,5,7,9,9,7,7,"[""frontline_farm"", ""self_heal_favorable""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]","[""パーティクル・バリア"", ""バリア・ショット""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]",ザリアは体が大きく、近距離でヘルファイア・ショットガンを当て続けやすい。相手の継続火力が低い場面では通常射撃の回復込みで有利を作りやすいが、退路のレイス・フォームは残す。,パーティクル・バリア、バリア・ショットの後,デス・ブロッサムはザリアのパーティクル・バリア、バリア・ショット、グラビトン・サージを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Sigma,5,9,8,5,7,9,8,8,7,"[""frontline_farm"", ""self_heal_favorable""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]","[""アクリーション"", ""エクスペリメンタル・バリア"", ""キネティック・グラスプ""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]",シグマは体が大きく、近距離でヘルファイア・ショットガンを当て続けやすい。相手の継続火力が低い場面では通常射撃の回復込みで有利を作りやすいが、退路のレイス・フォームは残す。,アクリーション、エクスペリメンタル・バリア、キネティック・グラスプの後,デス・ブロッサムはシグマのエクスペリメンタル・バリア、キネティック・グラスプ、アクリーションを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Junker Queen,5,9,9,5,4,9,8,8,5,"[""frontline_farm""]","[""ランペイジ""]","[""ギザギザブレード"", ""カーネイジ""]","[""ランペイジ""]",ジャンカー・クイーンはリーパーが圧を出しやすい対象。正面で無理に追い切らず、味方タンクが当たる瞬間に近距離へ入り、ヘルファイア・ショットガンで体力と回復リソースを削る。,ギザギザブレード、カーネイジの後,デス・ブロッサムはジャンカー・クイーンのランペイジを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Doomfist,8,7,9,4,4,7,6,6,6,"[""frontline_farm"", ""mobility_threat"", ""self_heal_favorable""]","[""パワー・ブロック"", ""サイズミック・スラム"", ""ロケット・パンチ""]","[""ロケット・パンチ"", ""サイズミック・スラム"", ""パワー・ブロック""]","[""パワー・ブロック"", ""ロケット・パンチ"", ""サイズミック・スラム""]",ドゥームフィストは体が大きく、近距離でヘルファイア・ショットガンを当て続けやすい。相手の継続火力が低い場面では通常射撃の回復込みで有利を作りやすいが、退路のレイス・フォームは残す。,ロケット・パンチ、サイズミック・スラム、パワー・ブロックの後,デス・ブロッサムはドゥームフィストのパワー・ブロック、ロケット・パンチ、サイズミック・スラムを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Domina,3,9,6,5,4,9,9,7,8,"[""frontline_farm"", ""self_heal_favorable""]","[""バリア・アレイ"", ""パノプティコン""]","[""クリスタル・チャージ"", ""ソニック・リパルサー"", ""バリア・アレイ""]","[""バリア・アレイ"", ""パノプティコン""]",ドミナは体が大きく、近距離でヘルファイア・ショットガンを当て続けやすい。相手の継続火力が低い場面では通常射撃の回復込みで有利を作りやすいが、退路のレイス・フォームは残す。,クリスタル・チャージ、ソニック・リパルサー、バリア・アレイの後,デス・ブロッサムはドミナのバリア・アレイ、パノプティコンを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Hazard,6,8,7,4,4,8,7,5,7,"[""frontline_farm"", ""mobility_threat"", ""self_heal_favorable""]","[""スパイク・ガード"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""ヴァイオレント・リープ"", ""ジャギー・ウォール"", ""スパイク・ガード""]","[""スパイク・ガード"", ""ジャギー・ウォール"", ""ヴァイオレント・リープ""]",ハザードは体が大きく、近距離でヘルファイア・ショットガンを当て続けやすい。相手の継続火力が低い場面では通常射撃の回復込みで有利を作りやすいが、退路のレイス・フォームは残す。,ヴァイオレント・リープ、ジャギー・ウォール、スパイク・ガードの後,デス・ブロッサムはハザードのスパイク・ガード、ジャギー・ウォール、ヴァイオレント・リープを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Mauga,5,9,9,5,4,9,8,8,5,"[""frontline_farm""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]","[""オーバーラン"", ""カーディアック・オーバードライブ""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]",マウガはリーパーが圧を出しやすい対象。正面で無理に追い切らず、味方タンクが当たる瞬間に近距離へ入り、ヘルファイア・ショットガンで体力と回復リソースを削る。,オーバーラン、カーディアック・オーバードライブの後,デス・ブロッサムはマウガのカーディアック・オーバードライブ、ケージ・ファイトを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Reinhardt,3,9,7,5,6,9,9,7,9,"[""frontline_farm"", ""self_heal_favorable""]","[""バリア・フィールド"", ""アースシャター""]","[""チャージ"", ""バリア・フィールド""]","[""バリア・フィールド"", ""アースシャター""]",ラインハルトは体が大きく、近距離でヘルファイア・ショットガンを当て続けやすい。相手の継続火力が低い場面では通常射撃の回復込みで有利を作りやすいが、退路のレイス・フォームは残す。,チャージ、バリア・フィールドの後,デス・ブロッサムはラインハルトのバリア・フィールド、アースシャターを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Ramattra,3,9,6,5,4,9,9,7,8,"[""frontline_farm"", ""self_heal_favorable""]","[""ヴォイド・バリア"", ""ブロック"", ""アナイアレーション""]","[""ネメシス・フォーム"", ""貪欲な渦"", ""ヴォイド・バリア""]","[""ヴォイド・バリア"", ""ブロック"", ""アナイアレーション""]",ラマットラは体が大きく、近距離でヘルファイア・ショットガンを当て続けやすい。相手の継続火力が低い場面では通常射撃の回復込みで有利を作りやすいが、退路のレイス・フォームは残す。,ネメシス・フォーム、貪欲な渦、ヴォイド・バリアの後,デス・ブロッサムはラマットラのヴォイド・バリア、ブロック、アナイアレーションを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Wrecking Ball,6,8,6,4,4,8,7,5,7,"[""frontline_farm"", ""mobility_threat"", ""self_heal_favorable""]","[""アダプティブ・シールド"", ""グラップリング・クロー"", ""ロール""]","[""グラップリング・クロー"", ""パイルドライバー"", ""ロール""]","[""アダプティブ・シールド"", ""パイルドライバー"", ""グラップリング・クロー""]",レッキング・ボールは体が大きく、近距離でヘルファイア・ショットガンを当て続けやすい。相手の継続火力が低い場面では通常射撃の回復込みで有利を作りやすいが、退路のレイス・フォームは残す。,グラップリング・クロー、パイルドライバー、ロールの後,デス・ブロッサムはレッキング・ボールのアダプティブ・シールド、パイルドライバー、グラップリング・クローを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Roadhog,5,9,9,5,4,9,8,8,5,"[""frontline_farm""]","[""チェイン・フック""]","[""チェイン・フック"", ""ピッグペン""]","[""チェイン・フック""]",ロードホッグはリーパーが圧を出しやすい対象。正面で無理に追い切らず、味方タンクが当たる瞬間に近距離へ入り、ヘルファイア・ショットガンで体力と回復リソースを削る。,チェイン・フック、ピッグペンの後,デス・ブロッサムはロードホッグのチェイン・フックを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Ashe,7,7,7,8,4,5,5,6,4,"[""long_sightline_avoid"", ""cross_target_recalibrated_v41""]","[""コーチ・ガン"", ""B.O.B""]","[""ダイナマイト"", ""コーチ・ガン""]","[""B.O.B"", ""コーチ・ガン""]",アッシュの長い射線では撃ち合わない。正面移動ではなく、遮蔽裏のルートからシャドウ・ステップで近い遮蔽位置を取り、接近できた時だけ一気に削る。,ダイナマイト、コーチ・ガンの後,デス・ブロッサムはアッシュのB.O.B、コーチ・ガンを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,アッシュの高台とコーチ・ガンが危険。リーパーは見られた正面移動を避け、シャドウ・ステップで近い遮蔽位置を取る。,通常射撃回復は接近後に有効。高台から削られる時間を短くし、コーチ・ガン後に詰め直す。,v41,7,5,高台接近・距離詰め,,,,,,
Anran,6,4,6,4,4,5,6,5,5,"[""mobility_threat""]","[""熠閃舞"", ""朱魂返"", ""焚身焔""]","[""怒炎衝"", ""朱羽焚"", ""熠閃舞""]","[""焚身焔"", ""熠閃舞"", ""朱魂返""]",アンランは動き出しを追うより、近づいてきた瞬間を撃つ。レイス・フォームを先に使わず、相手の接近スキル後に体力差を作ってから退く。,怒炎衝、朱羽焚、熠閃舞の後,デス・ブロッサムはアンランの焚身焔、熠閃舞、朱魂返を確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Widowmaker,7,4,6,7,4,5,4,5,5,"[""long_sightline_avoid""]","[""グラップリング・フック"", ""ウィドウズ・キス""]","[""ヴェノム・マイン"", ""グラップリング・フック""]","[""ウィドウズ・キス"", ""グラップリング・フック""]",ウィドウメイカーの長い射線では撃ち合わない。正面移動ではなく、遮蔽裏のルートからシャドウ・ステップで近い遮蔽位置を取り、接近できた時だけ一気に削る。,ヴェノム・マイン、グラップリング・フックの後,デス・ブロッサムはウィドウメイカーのウィドウズ・キス、グラップリング・フックを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Echo,8,2,6,4,4,5,4,5,5,"[""mobility_threat"", ""air_control_limited""]","[""フライト"", ""コピー""]","[""スティッキー・ボム"", ""フォーカス・ビーム"", ""フライト""]","[""コピー"", ""フライト""]",エコーを空中で長く追わない。味方が着地や低空を作った瞬間だけ撃ち、普段は敵タンクや地上サポートを近距離で削って圧を作る。,スティッキー・ボム、フォーカス・ビーム、フライトの後,デス・ブロッサムはエコーのコピー、フライトを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Emre,5,5,6,5,4,5,6,5,5,"[""mobility_threat""]","[""オルタード・バイタル"", ""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル""]","[""サイバー・フラグ"", ""オルタード・バイタル""]","[""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル"", ""オルタード・バイタル""]",エムレは動き出しを追うより、近づいてきた瞬間を撃つ。レイス・フォームを先に使わず、相手の接近スキル後に体力差を作ってから退く。,サイバー・フラグ、オルタード・バイタルの後,デス・ブロッサムはエムレのシンセティック・バースト・ライフル、オーバーライド・プロトコル、オルタード・バイタルを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Cassidy,8,5,8,5,4,5,4,7,4,"[""cross_target_recalibrated_v41""]","[""コンバット・ロール"", ""デッド・アイ""]","[""フラッシュバン"", ""コンバット・ロール""]","[""デッド・アイ"", ""コンバット・ロール""]",キャスディには遮蔽を使って近距離だけ戦う。開けた場所で長く撃ち合わず、2発撃つ、隠れる、詰め直すの順で先に体力を削る。,フラッシュバン、コンバット・ロールの後,デス・ブロッサムはキャスディのデッド・アイ、コンバット・ロールを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,キャスディは近距離迎撃が強い。リーパーはフラッシュバンが残っている時は正面から入らず、使わせた後に詰める。,通常射撃回復よりフラッシュバン回避を優先する。残っている間は正面から入らない。,v41,8,4,フラッシュバン警戒,,,,,,
Genji,6,4,6,4,4,5,6,6,5,"[""mobility_threat""]","[""風斬り"", ""木の葉返し"", ""龍撃剣""]","[""木の葉返し後"", ""風斬り後""]","[""風斬り"", ""木の葉返し"", ""龍撃剣""]",ゲンジは動き出しを追うより、近づいてきた瞬間を撃つ。レイス・フォームを先に使わず、相手の接近スキル後に体力差を作ってから退く。,風斬り、木の葉返しの後,デス・ブロッサムはゲンジの木の葉返し、龍撃剣、風斬りを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Shion,6,4,6,4,4,5,6,5,5,"[""mobility_threat""]","[""回避"", ""凶走"", ""罰""]","[""凶走"", ""回避""]","[""罰"", ""殺戮"", ""回避""]",シオンは動き出しを追うより、近づいてきた瞬間を撃つ。レイス・フォームを先に使わず、相手の接近スキル後に体力差を作ってから退く。,凶走、回避の後,デス・ブロッサムはシオンの罰、殺戮、回避を確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Symmetra,6,6,6,6,4,7,5,6,6,"[""self_heal_favorable"", ""cross_target_recalibrated_v41""]","[""フォトン・バリア"", ""テレポーター""]","[""セントリー・タレット"", ""テレポーター"", ""フォトン・バリア""]","[""フォトン・バリア"", ""テレポーター""]",シンメトラは単独で追いすぎず、相手の継続火力が低い場面だけ近距離を長めに戦う。ヘルファイア・ショットガンの回復を見込みつつ、逃げ道は残す。,セントリー・タレット、テレポーター、フォトン・バリアの後,デス・ブロッサムはシンメトラのフォトン・バリア、テレポーターを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,シンメトラのビームが伸びる前に短く倒し切る。セントリー・タレットとテレポーター周辺では長く戦わない。,通常射撃回復で押し切れる場面はあるが、ビームが伸びる前に短く決める。,v41,6,5,ビーム警戒・短期決着,,,,,,
