hero_id,hero_ja,role,sub_role,matchup_rating,composition_tags,sombra_comp_stats.hack_value,sombra_comp_stats.virus_value,sombra_comp_stats.translocator_risk,sombra_comp_stats.emp_value,sombra_comp_stats.matchup_rating,sombra_comp_stats.priority_score,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.emp_check,key_enemy_skills.hack_timing
D.Va,D.Va,タンク,イニシエーター,5.1,"[""heavy_frontline"", ""dive_threat"", ""long_range_threat"", ""aerial_pressure"", ""save_sustain"", ""hack_value_target""]",9,6,10,10,5.1,7,"[""ブースター"", ""ブースター"", ""ディフェンス・マトリックス""]","[""ブースター"", ""ブースター"", ""ディフェンス・マトリックス""]","[""ディフェンス・マトリックス"", ""ブースター"", ""自爆""]","[""ブースター"", ""ブースター"", ""ブースター""]"
Winston,ウィンストン,タンク,イニシエーター,5.1,"[""dive_threat"", ""long_range_threat"", ""save_sustain"", ""hack_value_target""]",9,6,10,10,5.1,7,"[""ジャンプ・パック"", ""テスラ・キャノン"", ""バリア・プロジェクター""]","[""ジャンプ・パック"", ""ジャンプ・パック"", ""バリア・プロジェクター""]","[""バリア・プロジェクター"", ""ジャンプ・パック""]","[""ジャンプ・パック"", ""ジャンプ・パック"", ""テスラ・キャノン""]"
Doomfist,ドゥームフィスト,タンク,イニシエーター,4.5,"[""dive_threat"", ""flank_threat"", ""long_range_threat""]",8,6,10,9,4.5,6,"[""ロケット・パンチ"", ""サイズミック・スラム"", ""ロケット・パンチ""]","[""サイズミック・スラム"", ""ロケット・パンチ"", ""サイズミック・スラム""]","[""パワー・ブロック"", ""サイズミック・スラム""]","[""ロケット・パンチ"", ""サイズミック・スラム"", ""サイズミック・スラム""]"
Hazard,ハザード,タンク,ストールワート,4.8,"[""dive_threat""]",8,7,10,9,4.8,7,"[""ヴァイオレント・リープ"", ""ジャギー・ウォール"", ""ジャギー・ウォール""]","[""ヴァイオレント・リープ"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""スパイク・ガード"", ""ヴァイオレント・リープ""]","[""ヴァイオレント・リープ"", ""ジャギー・ウォール"", ""ヴァイオレント・リープ""]"
Wrecking Ball,レッキング・ボール,タンク,イニシエーター,4.2,"[""dive_threat"", ""flank_threat"", ""long_range_threat"", ""aerial_pressure""]",8,6,10,9,4.2,6,"[""グラップリング・クロー"", ""パイルドライバー"", ""パイルドライバー""]","[""グラップリング・クロー"", ""ロール"", ""グラップリング・クロー""]","[""アダプティブ・シールド"", ""グラップリング・クロー"", ""ロール""]","[""グラップリング・クロー"", ""パイルドライバー"", ""グラップリング・クロー""]"
Zarya,ザリア,タンク,ブルーザー,5.8,"[""heavy_frontline"", ""save_sustain"", ""hack_value_target""]",10,7,7,10,5.8,8,"[""グラビトン・サージ"", ""グラビトン・サージ"", ""パーティクル・バリア""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]","[""パーティクル・バリア"", ""バリア・ショット"", ""パーティクル・バリア""]","[""グラビトン・サージ"", ""パーティクル・バリア"", ""バリア・ショット""]"
Junker Queen,ジャンカー・クイーン,タンク,ストールワート,5.7,"[""heavy_frontline"", ""save_sustain""]",9,7,8,10,5.7,8,"[""ギザギザブレード"", ""カーネイジ"", ""ランペイジ""]","[""コマンディング・シャウト"", ""ギザギザブレード"", ""カーネイジ""]","[""コマンディング・シャウト"", ""コマンディング・シャウト""]","[""ギザギザブレード"", ""カーネイジ"", ""コマンディング・シャウト""]"
Domina,ドミナ,タンク,ストールワート,5.9,"[""heavy_frontline""]",9,7,7,10,5.9,8,"[""クリスタル・チャージ"", ""ソニック・リパルサー"", ""パノプティコン""]","[""バリア・アレイ"", ""クリスタル・チャージ"", ""ソニック・リパルサー""]","[""バリア・アレイ"", ""バリア・アレイ""]","[""クリスタル・チャージ"", ""ソニック・リパルサー"", ""バリア・アレイ""]"
Mauga,マウガ,タンク,ブルーザー,5.9,"[""heavy_frontline""]",9,7,7,10,5.9,8,"[""オーバーラン"", ""ケージ・ファイト"", ""カーディアック・オーバードライブ""]","[""カーディアック・オーバードライブ"", ""オーバーラン"", ""カーディアック・オーバードライブ""]","[""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]","[""オーバーラン"", ""カーディアック・オーバードライブ"", ""ケージ・ファイト""]"
Ramattra,ラマットラ,タンク,ストールワート,6.5,"[""heavy_frontline"", ""hack_value_target""]",10,7,7,10,6.5,8,"[""ネメシス・フォーム"", ""貪欲な渦"", ""アナイアレーション""]","[""ヴォイド・バリア"", ""ブロック"", ""ネメシス・フォーム""]","[""ヴォイド・バリア"", ""ブロック"", ""ヴォイド・バリア""]","[""ネメシス・フォーム"", ""貪欲な渦"", ""ヴォイド・バリア""]"
Roadhog,ロードホッグ,タンク,ブルーザー,5.7,"[""heavy_frontline""]",9,8,8,9,5.7,8,"[""チェイン・フック"", ""ピッグペン"", ""チェイン・フック""]","[""テイク・ア・ブリーザー"", ""チェイン・フック"", ""ピッグペン""]","[""テイク・ア・ブリーザー"", ""テイク・ア・ブリーザー""]","[""チェイン・フック"", ""ピッグペン"", ""テイク・ア・ブリーザー""]"
Orisa,オリーサ,タンク,ブルーザー,5.7,"[""heavy_frontline"", ""save_sustain""]",9,7,7,10,5.7,8,"[""エネルギー・ジャベリン"", ""エネルギー・ジャベリン"", ""フォーティファイ""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""フォーティファイ""]","[""エネルギー・ジャベリン"", ""フォーティファイ"", ""ジャベリン・スピン""]"
Sigma,シグマ,タンク,ストールワート,6.2,"[""heavy_frontline"", ""save_sustain"", ""hack_value_target""]",10,8,7,10,6.2,8,"[""アクリーション"", ""アクリーション"", ""エクスペリメンタル・バリア""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""エクスペリメンタル・バリア""]","[""アクリーション"", ""エクスペリメンタル・バリア"", ""キネティック・グラスプ""]"
Reinhardt,ラインハルト,タンク,ストールワート,6.2,"[""heavy_frontline"", ""hack_value_target""]",10,8,7,10,6.2,8,"[""チャージ"", ""アースシャター"", ""バリア・フィールド""]","[""バリア・フィールド"", ""チャージ"", ""バリア・フィールド""]","[""バリア・フィールド"", ""バリア・フィールド""]","[""チャージ"", ""バリア・フィールド"", ""アースシャター""]"
Ashe,アッシュ,ダメージ,シャープシューター,5.9,"[""long_range_threat""]",8,8,8,7,5.9,7,"[""ダイナマイト"", ""B.O.B""]","[""コーチ・ガン"", ""ダイナマイト""]","[""コーチ・ガン""]","[""ダイナマイト"", ""コーチ・ガン"", ""B.O.B""]"
Widowmaker,ウィドウメイカー,ダメージ,シャープシューター,5.8,"[""long_range_threat""]",8,8,9,7,5.8,7,"[""ヴェノム・マイン"", ""ウィドウズ・キス""]","[""グラップリング・フック"", ""ヴェノム・マイン""]","[""グラップリング・フック""]","[""ヴェノム・マイン"", ""グラップリング・フック"", ""ウィドウズ・キス""]"
Emre,エムレ,ダメージ,スペシャリスト,5.6,"[""standard""]",8,8,8,8,5.6,7,"[""サイバー・フラグ"", ""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル""]","[""オルタード・バイタル"", ""サイバー・フラグ""]","[""オルタード・バイタル""]","[""サイバー・フラグ"", ""オルタード・バイタル"", ""シンセティック・バースト・ライフル""]"
Cassidy,キャスディ,ダメージ,シャープシューター,5.9,"[""standard""]",8,8,7,7,5.9,7,"[""フラッシュバン"", ""デッド・アイ""]","[""コンバット・ロール"", ""フラッシュバン""]","[""コンバット・ロール""]","[""フラッシュバン"", ""コンバット・ロール"", ""デッド・アイ""]"
Sojourn,ソジョーン,ダメージ,シャープシューター,5.1,"[""dive_threat"", ""long_range_threat""]",7,8,10,7,5.1,6,"[""ディスラプター・ショット"", ""レールガン"", ""オーバークロック""]","[""パワー・スライド"", ""ディスラプター・ショット""]","[""パワー・スライド""]","[""ディスラプター・ショット"", ""パワー・スライド"", ""レールガン""]"
Soldier: 76,ソルジャー76,ダメージ,スペシャリスト,5.2,"[""long_range_threat""]",7,7,9,7,5.2,6,"[""ヘリックス・ロケット"", ""タクティカル・バイザー"", ""バイオティック・フィールド""]","[""スプリント"", ""ヘリックス・ロケット"", ""バイオティック・フィールド""]","[""バイオティック・フィールド"", ""スプリント""]","[""ヘリックス・ロケット"", ""スプリント"", ""タクティカル・バイザー""]"
Hanzo,ハンゾー,ダメージ,シャープシューター,5.8,"[""long_range_threat""]",8,8,9,7,5.8,7,"[""電光石火"", ""鳴響矢水"", ""龍撃波""]","[""体術"", ""壁登り"", ""電光石火""]","[""体術"", ""壁登り""]","[""電光石火"", ""鳴響矢水"", ""体術""]"
Freja,フレイヤ,ダメージ,リコン,5.1,"[""dive_threat"", ""long_range_threat""]",7,8,10,7,5.1,6,"[""ボーラ・ショット"", ""テイク・エイム"", ""ボーラ・ショット""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット""]","[""クイック・ダッシュ"", ""アップドラフト""]","[""ボーラ・ショット"", ""テイク・エイム"", ""クイック・ダッシュ""]"
Anran,アンラン,ダメージ,フランカー,4.2,"[""dive_threat"", ""flank_threat""]",7,7,10,8,4.2,6,"[""怒炎衝"", ""朱羽焚"", ""焚身焔""]","[""熠閃舞"", ""朱魂返"", ""怒炎衝""]","[""熠閃舞"", ""朱魂返""]","[""怒炎衝"", ""朱羽焚"", ""熠閃舞""]"
Genji,ゲンジ,ダメージ,フランカー,4.5,"[""dive_threat"", ""flank_threat"", ""long_range_threat"", ""hack_value_target""]",8,7,10,7,4.5,6,"[""風斬り"", ""龍撃剣"", ""木の葉返し""]","[""風斬り"", ""サイバー体術"", ""風斬り""]","[""木の葉返し"", ""風斬り"", ""サイバー体術""]","[""風斬り"", ""風斬り"", ""サイバー体術""]"
Shion,シオン,ダメージ,フランカー,4.2,"[""dive_threat"", ""flank_threat"", ""long_range_threat""]",6,6,10,7,4.2,5,"[""凶走"", ""回避"", ""罰""]","[""回避"", ""凶走"", ""凶走""]","[""回避"", ""凶走""]","[""凶走"", ""回避"", ""回避""]"
Sombra,ソンブラ,ダメージ,リコン,3.7,"[""dive_threat"", ""flank_threat"", ""save_sustain""]",8,7,10,9,3.7,7,"[""ハック"", ""EMP"", ""ハック""]","[""トランズロケーター"", ""ステルス"", ""ハック""]","[""ハック"", ""EMP"", ""トランズロケーター""]","[""ハック"", ""トランズロケーター"", ""ステルス""]"
Tracer,トレーサー,ダメージ,フランカー,4.0,"[""dive_threat"", ""flank_threat""]",6,6,10,7,4.0,5,"[""ブリンク"", ""パルス・ボム"", ""リコール""]","[""ブリンク"", ""リコール"", ""ブリンク""]","[""リコール"", ""ブリンク"", ""リコール""]","[""ブリンク"", ""ブリンク"", ""リコール""]"
Venture,ベンチャー,ダメージ,フランカー,3.9,"[""dive_threat"", ""flank_threat""]",7,7,10,8,3.9,6,"[""ドリル・ダッシュ"", ""テクトニック・ショック"", ""バロー""]","[""バロー"", ""ドリル・ダッシュ"", ""ドリル・ダッシュ""]","[""バロー"", ""バロー"", ""ドリル・ダッシュ""]","[""ドリル・ダッシュ"", ""バロー"", ""ドリル・ダッシュ""]"
Reaper,リーパー,ダメージ,フランカー,5.0,"[""flank_threat""]",7,7,10,8,5.0,6,"[""シャドウ・ステップ"", ""デス・ブロッサム"", ""レイス・フォーム""]","[""レイス・フォーム"", ""シャドウ・ステップ"", ""シャドウ・ステップ""]","[""レイス・フォーム"", ""レイス・フォーム"", ""シャドウ・ステップ""]","[""シャドウ・ステップ"", ""レイス・フォーム"", ""シャドウ・ステップ""]"
Vendetta,ヴェンデッタ,ダメージ,フランカー,3.9,"[""dive_threat"", ""flank_threat""]",7,7,10,8,3.9,6,"[""ワールウィンド"", ""ソアリング・スライス"", ""サンダリング・ブレード""]","[""ソアリング・スライス"", ""ワールウィンド"", ""ソアリング・スライス""]","[""ウォーディング・スタンス"", ""ソアリング・スライス""]","[""ワールウィンド"", ""ソアリング・スライス"", ""ソアリング・スライス""]"
Echo,エコー,ダメージ,リコン,4.2,"[""dive_threat"", ""flank_threat"", ""long_range_threat"", ""aerial_pressure""]",6,7,10,7,4.2,5,"[""スティッキー・ボム"", ""フォーカス・ビーム"", ""コピー""]","[""フライト"", ""スティッキー・ボム"", ""フォーカス・ビーム""]","[""フライト""]","[""スティッキー・ボム"", ""フォーカス・ビーム"", ""フライト""]"
Pharah,ファラ,ダメージ,リコン,4.8,"[""dive_threat"", ""long_range_threat"", ""aerial_pressure""]",7,7,10,7,4.8,6,"[""コンカッシブ・ブラスト"", ""バレッジ""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ"", ""コンカッシブ・ブラスト""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ""]","[""コンカッシブ・ブラスト"", ""ジャンプ・ジェット"", ""ジェット・ダッシュ""]"
Symmetra,シンメトラ,ダメージ,スペシャリスト,6.2,"[""save_sustain"", ""hack_value_target"", ""setup_or_utility""]",10,8,8,10,6.2,8,"[""セントリー・タレット"", ""テレポーター"", ""フォトン・バリア""]","[""テレポーター"", ""セントリー・タレット"", ""テレポーター""]","[""フォトン・バリア"", ""テレポーター""]","[""セントリー・タレット"", ""テレポーター"", ""テレポーター""]"
Junkrat,ジャンクラット,ダメージ,スペシャリスト,5.9,"[""save_sustain"", ""setup_or_utility""]",8,8,9,9,5.9,7,"[""スティール・トラップ"", ""コンカッション・マイン"", ""RIPタイヤ""]","[""コンカッション・マイン"", ""スティール・トラップ"", ""コンカッション・マイン""]","[""コンカッション・マイン""]","[""スティール・トラップ"", ""コンカッション・マイン"", ""コンカッション・マイン""]"
Torbjörn,トールビョーン,ダメージ,スペシャリスト,5.4,"[""save_sustain""]",9,8,7,10,5.4,8,"[""タレット"", ""モルテン・コア"", ""オーバーロード""]","[""オーバーロード"", ""タレット"", ""オーバーロード""]","[""オーバーロード"", ""オーバーロード""]","[""タレット"", ""オーバーロード"", ""モルテン・コア""]"
Bastion,バスティオン,ダメージ,スペシャリスト,6.4,"[""hack_value_target"", ""setup_or_utility""]",9,9,7,8,6.4,8,"[""強襲モード"", ""A-36タクティカル・グレネード"", ""砲台モード""]","[""強襲モード"", ""A-36タクティカル・グレネード""]","[""防御・救助スキル""]","[""強襲モード"", ""A-36タクティカル・グレネード"", ""砲台モード""]"
Mei,メイ,ダメージ,スペシャリスト,5.5,"[""save_sustain"", ""hack_value_target"", ""setup_or_utility""]",10,7,7,10,5.5,8,"[""アイス・ウォール"", ""ブリザード"", ""クリオフリーズ""]","[""クリオフリーズ"", ""アイス・ウォール"", ""アイス・ウォール""]","[""クリオフリーズ"", ""アイス・ウォール"", ""クリオフリーズ""]","[""アイス・ウォール"", ""クリオフリーズ"", ""アイス・ウォール""]"
Illari,イラリー,サポート,サバイバー,7.2,"[""long_range_threat"", ""save_sustain"", ""backline_anchor"", ""setup_or_utility""]",9,9,7,9,7.2,8,"[""アウトバースト"", ""キャプティブ・サン"", ""ヒーリング・パイロン""]","[""アウトバースト"", ""アウトバースト"", ""ヒーリング・パイロン""]","[""ヒーリング・パイロン"", ""アウトバースト""]","[""アウトバースト"", ""アウトバースト"", ""キャプティブ・サン""]"
Jetpack Cat,ジェットパック・キャット,サポート,タクティシャン,5.0,"[""dive_threat"", ""long_range_threat"", ""aerial_pressure"", ""save_sustain"", ""backline_anchor""]",8,7,10,9,5.0,7,"[""キャットナッパー"", ""ワイルド・フライト"", ""キャットナッパー""]","[""ワイルド・フライト"", ""キャットナッパー"", ""ワイルド・フライト""]","["""", ""ゴロゴロ"", ""ワイルド・フライト""]","[""キャットナッパー"", ""ワイルド・フライト"", ""ワイルド・フライト""]"
Juno,ジュノ,サポート,サバイバー,5.0,"[""dive_threat"", ""long_range_threat"", ""aerial_pressure"", ""save_sustain"", ""backline_anchor""]",9,7,10,10,5.0,7,"[""パルサー・トーピード"", ""ハイパーリング"", ""オービタル・レイ""]","[""グライド・ブースト"", ""パルサー・トーピード"", ""ハイパーリング""]","[""ハイパーリング"", ""オービタル・レイ"", ""グライド・ブースト""]","[""パルサー・トーピード"", ""ハイパーリング"", ""グライド・ブースト""]"
Baptiste,バティスト,サポート,タクティシャン,6.0,"[""long_range_threat"", ""save_sustain"", ""backline_anchor"", ""setup_or_utility""]",9,7,8,10,6.0,8,"[""アンプリフィケーション・マトリックス"", ""アンプリフィケーション・マトリックス"", ""イモータリティ・フィールド""]","["""", ""アンプリフィケーション・マトリックス"", ""イモータリティ・フィールド""]","[""イモータリティ・フィールド"", """"]","[""アンプリフィケーション・マトリックス"", """", ""アンプリフィケーション・マトリックス""]"
Mercy,マーシー,サポート,メディック,5.0,"[""dive_threat"", ""aerial_pressure"", ""save_sustain"", ""backline_anchor""]",9,7,9,10,5.0,7,"[""ヴァルキリー"", ""ヴァルキリー"", ""蘇生""]","[""ガーディアン・エンジェル"", ""ヴァルキリー"", ""蘇生""]","[""蘇生"", ""ガーディアン・エンジェル"", ""ガーディアン・エンジェル""]","[""ヴァルキリー"", ""ガーディアン・エンジェル"", ""ヴァルキリー""]"
Lifeweaver,ライフウィーバー,サポート,メディック,5.4,"[""save_sustain"", ""backline_anchor""]",9,6,7,10,5.4,7,"[""命の樹"", ""命の樹"", ""ライフグリップ""]","[""ペタル・プラットフォーム"", ""若返りの風"", ""命の樹""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""若返りの風""]","[""命の樹"", ""ペタル・プラットフォーム"", ""若返りの風""]"
Kiriko,キリコ,サポート,メディック,4.3,"[""dive_threat"", ""save_sustain"", ""backline_anchor""]",9,6,10,10,4.3,7,"[""狐走り"", ""狐走り"", ""鈴のご加護""]","[""神出鬼没"", ""狐走り"", ""鈴のご加護""]","[""鈴のご加護"", ""神出鬼没""]","[""狐走り"", ""神出鬼没"", ""狐走り""]"
Brigitte,ブリギッテ,サポート,サバイバー,5.4,"[""save_sustain"", ""backline_anchor""]",10,7,7,10,5.4,8,"[""シールド・バッシュ"", ""ウィップ・ショット"", ""ラリー""]","[""バリア・シールド"", ""ラリー"", ""シールド・バッシュ""]","[""バリア・シールド"", ""ラリー"", ""バリア・シールド""]","[""シールド・バッシュ"", ""ウィップ・ショット"", ""バリア・シールド""]"
Moira,モイラ,サポート,メディック,5.0,"[""dive_threat"", ""save_sustain""]",8,7,9,9,5.0,7,"[""バイオティック・オーブ"", ""コアレッセンス"", ""フェード""]","[""フェード"", ""バイオティック・オーブ"", ""フェード""]","[""フェード"", ""フェード""]","[""バイオティック・オーブ"", ""フェード"", ""コアレッセンス""]"
Lúcio,ルシオ,サポート,タクティシャン,4.5,"[""dive_threat"", ""save_sustain"", ""backline_anchor""]",9,6,10,10,4.5,7,"[""サウンドウェーブ"", ""アンプ・イット・アップ"", ""サウンド・バリア""]","[""ウォール・ライド"", ""サウンドウェーブ"", ""アンプ・イット・アップ""]","[""サウンド・バリア"", ""ウォール・ライド""]","[""サウンドウェーブ"", ""アンプ・イット・アップ"", ""ウォール・ライド""]"
Ana,アナ,サポート,タクティシャン,7.2,"[""long_range_threat"", ""save_sustain"", ""backline_anchor"", ""setup_or_utility""]",10,9,6,10,7.2,9,"[""スリープ・ダーツ"", ""バイオティック・グレネード"", ""ナノ・ブースト""]","[""スリープ・ダーツ"", ""スリープ・ダーツ"", ""バイオティック・グレネード""]","[""スリープ・ダーツ"", ""スリープ・ダーツ""]","[""スリープ・ダーツ"", ""バイオティック・グレネード"", ""スリープ・ダーツ""]"
Wuyang,ウーヤン,サポート,サバイバー,6.1,"[""save_sustain"", ""backline_anchor""]",9,8,8,10,6.1,8,"[""玄武之杖"", ""驚濤破"", ""守衛波浪""]","[""飛流歩"", ""玄武之杖"", ""驚濤破""]","[""養神泉"", ""驚濤破"", ""飛流歩""]","[""玄武之杖"", ""驚濤破"", ""飛流歩""]"
Zenyatta,ゼニヤッタ,サポート,タクティシャン,7.2,"[""long_range_threat"", ""save_sustain"", ""backline_anchor"", ""setup_or_utility""]",10,10,6,10,7.2,9,"[""不和のオーブ"", ""不和のオーブ"", ""心頭滅却""]","[""心頭滅却"", ""不和のオーブ"", ""心頭滅却""]","[""心頭滅却"", ""心頭滅却""]","[""不和のオーブ"", ""心頭滅却"", ""不和のオーブ""]"
Mizuki,ミズキ,サポート,サバイバー,6.1,"[""save_sustain"", ""backline_anchor""]",9,8,8,10,6.1,8,"[""呪縛"", ""形代"", ""癒しの波動""]","[""形代"", ""呪縛"", ""形代""]","[""霊域結界"", ""形代""]","[""呪縛"", ""形代"", ""形代""]"
