hero_id,hero_ja,role,sub_role,torbjorn_comp_stats.threat_torbjorn,torbjorn_comp_stats.turret_value,torbjorn_comp_stats.overload_value,torbjorn_comp_stats.molten_core_value,torbjorn_comp_stats.rivet_primary_value,torbjorn_comp_stats.rivet_secondary_value,torbjorn_comp_stats.forge_hammer_repair_value,torbjorn_comp_stats.matchup_rating,torbjorn_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.molten_core_check,key_enemy_skills.turret_plan,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.sombra_hack_note
Shion,シオン,ダメージ,フランカー,10,10,10,5,4,6,4,4,8,"[""flank_route_watch"", ""turret_high_value"", ""overload_duel_value""]","[""回避"", ""凶走"", ""罰""]","[""回避後"", ""凶走後""]","[""回避"", ""凶走"", ""罰""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",シオンにはタレットで側面ルートを見せ、接近されたらオーバーロードで距離を取りながらリベット・ガンを当てる。追いかけず、味方サポート側の遮蔽へ戻る。,回避後、凶走後,モルテン・コアはシオンを追うためではなく、味方後衛へ入る通路と戻る位置を使いにくくする。,
Sombra,ソンブラ,ダメージ,リコン,10,10,9,5,3,5,5,4,8,"[""flank_route_watch"", ""setup_or_utility"", ""turret_high_value"", ""overload_duel_value""]","[""ハック"", ""トランズロケーター"", ""EMP""]","[""ハック開始中"", ""トランズロケーター後""]","[""ハック"", ""トランズロケーター"", ""EMP""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",タレットは本体と離した位置に置き、ソンブラが本体へ近づく前に射撃音で気づけるようにする。,ハック開始中、トランズロケーター後,モルテン・コアはEMP後の混乱で急いで使わず、味方が動ける位置を確認してから通路を塞ぐ。,ソンブラ戦ではタレットを本体と同じ遮蔽に置かない。ハック開始音が聞こえたらリベット・ガンを1発当てて中断を狙い、成立したらタレットが撃てる位置まで下がって解除後にオーバーロードで仕切り直す。
Tracer,トレーサー,ダメージ,フランカー,10,10,10,4,3,6,4,4,9,"[""flank_route_watch"", ""turret_high_value"", ""overload_duel_value""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]","[""リコール後"", ""ブリンクを複数使った後""]","[""ブリンク"", ""リコール""]","[""側面ルート監視"", ""味方後衛側の接近確認"", ""本体と離して設置""]",タレットはトレーサーの側面ルートや背後ルートを撃てる位置へ置き、最初の接近を遅らせる。,リコール後、ブリンクを複数使った後,モルテン・コアはトレーサーを追うためではなく、味方後衛へ戻る通路を一時的に使えなくするために置く。,
Venture,ベンチャー,ダメージ,フランカー,9,10,10,6,4,7,4,5,8,"[""flank_route_watch"", ""turret_high_value"", ""overload_duel_value""]","[""バロー"", ""ドリル・ダッシュ"", ""テクトニック・ショック""]","[""バロー後"", ""ドリル・ダッシュ後""]","[""バロー"", ""ドリル・ダッシュ"", ""テクトニック・ショック""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ベンチャーにはタレットで側面ルートを見せ、接近されたらオーバーロードで距離を取りながらリベット・ガンを当てる。追いかけず、味方サポート側の遮蔽へ戻る。,バロー後、ドリル・ダッシュ後,モルテン・コアはベンチャーを追うためではなく、味方後衛へ入る通路と戻る位置を使いにくくする。,
Reaper,リーパー,ダメージ,フランカー,9,8,10,7,4,8,4,5,8,"[""flank_route_watch"", ""turret_high_value"", ""overload_duel_value""]","[""レイス・フォーム"", ""シャドウ・ステップ"", ""デス・ブロッサム""]","[""レイス・フォーム後"", ""シャドウ・ステップ後""]","[""レイス・フォーム"", ""シャドウ・ステップ"", ""デス・ブロッサム""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",タレットはリーパーの背後接近を知らせる位置へ置く。本人はオーバーロードをレイス・フォーム後の撃ち合いに残す。,レイス・フォーム後、シャドウ・ステップ後,デス・ブロッサムを警戒し、モルテン・コアは密集地点ではなく、リーパーが入る前の通路に置く。,
Vendetta,ヴェンデッタ,ダメージ,フランカー,9,10,10,6,4,7,4,5,8,"[""flank_route_watch"", ""turret_high_value"", ""overload_duel_value""]","[""ウォーディング・スタンス"", ""ソアリング・スライス"", ""サンダリング・ブレード""]","[""ソアリング・スライス後"", ""ワールウィンド後""]","[""ウォーディング・スタンス"", ""ソアリング・スライス"", ""サンダリング・ブレード""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ヴェンデッタにはタレットで側面ルートを見せ、接近されたらオーバーロードで距離を取りながらリベット・ガンを当てる。追いかけず、味方サポート側の遮蔽へ戻る。,ソアリング・スライス後、ワールウィンド後,モルテン・コアはヴェンデッタを追うためではなく、味方後衛へ入る通路と戻る位置を使いにくくする。,
Echo,エコー,ダメージ,リコン,10,10,9,4,4,6,4,4,8,"[""air_or_highground_pressure"", ""flank_route_watch"", ""turret_high_value"", ""overload_duel_value""]","[""フライト"", ""コピー""]","[""フライト後"", ""スティッキー・ボム後""]","[""フライト"", ""コピー""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",エコーにはタレットで側面ルートを見せ、接近されたらオーバーロードで距離を取りながらリベット・ガンを当てる。追いかけず、味方サポート側の遮蔽へ戻る。,フライト後、スティッキー・ボム後,モルテン・コアはエコーを空中で倒すためではなく、着地地点や味方が使う通路を守るために置く。,
Pharah,ファラ,ダメージ,リコン,10,10,9,4,5,5,4,4,8,"[""air_or_highground_pressure"", ""turret_high_value"", ""overload_duel_value""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ"", ""バレッジ""]","[""ジャンプ・ジェット後"", ""ジェット・ダッシュ後""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ"", ""バレッジ""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ファラは遠くや空中にいる間だけを追わず、低空・着地・味方へ近づいた瞬間をタレットとリベット・ガンで削る。,ジャンプ・ジェット後、ジェット・ダッシュ後,モルテン・コアはファラを空中で倒すためではなく、着地地点や味方が使う通路を守るために置く。,
Symmetra,シンメトラ,ダメージ,スペシャリスト,7,6,7,9,6,7,5,6,7,"[""setup_or_utility"", ""molten_core_high_value""]","[""セントリー・タレット"", ""テレポーター"", ""フォトン・バリア""]","[""テレポーター設置後"", ""セントリー・タレット確認後""]","[""セントリー・タレット"", ""テレポーター"", ""フォトン・バリア""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",タレット同士の撃ち合いに頼り切らず、リベット・ガンでセントリー・タレットを確認してから前へ出る。,テレポーター設置後、セントリー・タレット確認後,モルテン・コアはフォトン・バリアの片側だけへ固めず、敵が回り込みやすい通路にも残す。,
Junkrat,ジャンクラット,ダメージ,スペシャリスト,8,8,8,8,5,6,4,5,8,"[""setup_or_utility"", ""turret_high_value"", ""molten_core_high_value"", ""overload_duel_value""]","[""コンカッション・マイン"", ""RIPタイヤ""]","[""コンカッション・マイン後"", ""スティール・トラップ後""]","[""コンカッション・マイン"", ""RIPタイヤ""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ジャンクラットにはタレットで横移動を制限し、リベット・ガンは遮蔽から1発撃って戻る。接近されたらオーバーロードで耐える。,コンカッション・マイン後、スティール・トラップ後,モルテン・コアはジャンクラットを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Torbjörn,トールビョーン,ダメージ,スペシャリスト,7,5,7,9,6,7,5,6,7,"[""setup_or_utility"", ""molten_core_high_value""]","[""タレット設置"", ""オーバーロード"", ""モルテン・コア""]","[""タレット破壊後"", ""オーバーロード後""]","[""タレット設置"", ""オーバーロード"", ""モルテン・コア""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ミラーでは先にタレット位置を見つけ、リベット・ガンで壊してから自分のタレットを安全に働かせる。,タレット破壊後、オーバーロード後,モルテン・コアは敵トールビョーンのタレットだけに使わず、敵本体の移動先とタレット修理位置を分断する。,
Bastion,バスティオン,ダメージ,スペシャリスト,9,3,8,7,7,8,3,3,6,"[""long_range_threat"", ""overload_duel_value""]","[""砲台モード""]","[""強襲モード後"", ""A-36タクティカル・グレネード後""]","[""砲台モード""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",バスティオンが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻り、タレットは別の射線を作る。,強襲モード後、A-36タクティカル・グレネード後,モルテン・コアはバスティオンの遠距離射線を直接消すものではない。敵が前へ出る通路や遮蔽裏を制限する。,
Mei,メイ,ダメージ,スペシャリスト,7,5,7,10,6,8,6,6,7,"[""setup_or_utility"", ""molten_core_high_value""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]","[""アイス・ウォール後"", ""クリオフリーズ後""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",メイにはタレットで横移動を制限し、リベット・ガンは遮蔽から1発撃って戻る。接近されたらオーバーロードで耐える。,アイス・ウォール後、クリオフリーズ後,モルテン・コアはメイを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Illari,イラリー,サポート,サバイバー,8,6,8,8,6,5,5,5,7,"[""long_range_threat"", ""setup_or_utility"", ""molten_core_high_value"", ""overload_duel_value""]","[""アウトバースト"", ""キャプティブ・サン""]","[""アウトバースト後""]","[""アウトバースト"", ""キャプティブ・サン""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",イラリーが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻り、タレットは別の射線を作る。,アウトバースト後,モルテン・コアはイラリーを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Jetpack Cat,ジェットパック・キャット,サポート,タクティシャン,8,10,8,6,4,5,6,6,8,"[""air_or_highground_pressure"", ""setup_or_utility"", ""turret_high_value"", ""overload_duel_value""]","[""ワイルド・フライト"", ""キャットナッパー""]","[""ワイルド・フライト後"", ""キャットナッパー後""]","[""ワイルド・フライト"", ""キャットナッパー""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ジェットパック・キャットは遠くや空中にいる間だけを追わず、低空・着地・味方へ近づいた瞬間をタレットとリベット・ガンで削る。,ワイルド・フライト後、キャットナッパー後,モルテン・コアはジェットパック・キャットを空中で倒すためではなく、着地地点や味方が使う通路を守るために置く。,
Juno,ジュノ,サポート,サバイバー,8,10,8,6,4,5,6,6,8,"[""air_or_highground_pressure"", ""setup_or_utility"", ""turret_high_value"", ""overload_duel_value""]","[""グライド・ブースト"", ""オービタル・レイ""]","[""グライド・ブースト後"", ""パルサー・トーピード後""]","[""グライド・ブースト"", ""オービタル・レイ""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ジュノは遠くや空中にいる間だけを追わず、低空・着地・味方へ近づいた瞬間をタレットとリベット・ガンで削る。,グライド・ブースト後、パルサー・トーピード後,モルテン・コアはジュノを空中で倒すためではなく、着地地点や味方が使う通路を守るために置く。,
Baptiste,バティスト,サポート,タクティシャン,8,7,8,9,6,6,6,5,8,"[""long_range_threat"", ""setup_or_utility"", ""molten_core_high_value"", ""overload_duel_value""]","[""イモータリティ・フィールド"", ""アンプリフィケーション・マトリックス""]","[""イモータリティ・フィールド後""]","[""イモータリティ・フィールド"", ""アンプリフィケーション・マトリックス""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",バティストが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻り、タレットは別の射線を作る。,イモータリティ・フィールド後,モルテン・コアはバティストを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Mercy,マーシー,サポート,メディック,6,10,7,7,3,5,7,8,8,"[""air_or_highground_pressure"", ""setup_or_utility"", ""turret_high_value""]","[""ガーディアン・エンジェル"", ""ヴァルキリー""]","[""ガーディアン・エンジェル後""]","[""ガーディアン・エンジェル"", ""ヴァルキリー""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",マーシーは遠くや空中にいる間だけを追わず、低空・着地・味方へ近づいた瞬間をタレットとリベット・ガンで削る。,ガーディアン・エンジェル後,モルテン・コアはマーシーを空中で倒すためではなく、着地地点や味方が使う通路を守るために置く。,
Lifeweaver,ライフウィーバー,サポート,メディック,6,6,7,9,5,5,7,7,7,"[""setup_or_utility"", ""molten_core_high_value""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""若返りの風""]","[""ペタル・プラットフォーム後"", ""若返りの風後""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""若返りの風""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ライフウィーバーにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,ペタル・プラットフォーム後、若返りの風後,モルテン・コアはライフウィーバーを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Kiriko,キリコ,サポート,メディック,9,9,9,7,4,6,6,5,8,"[""setup_or_utility"", ""turret_high_value"", ""overload_duel_value""]","[""鈴のご加護"", ""神出鬼没"", ""狐走り""]","[""神出鬼没後"", ""鈴のご加護後""]","[""鈴のご加護"", ""神出鬼没"", ""狐走り""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",キリコにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,神出鬼没後、鈴のご加護後,モルテン・コアはキリコを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Brigitte,ブリギッテ,サポート,サバイバー,6,5,7,8,4,7,6,7,6,"[""setup_or_utility"", ""molten_core_high_value""]","[""バリア・シールド"", ""ラリー""]","[""シールド・バッシュ後"", ""ウィップ・ショット後""]","[""バリア・シールド"", ""ラリー""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ブリギッテにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,シールド・バッシュ後、ウィップ・ショット後,モルテン・コアはブリギッテを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Moira,モイラ,サポート,メディック,7,8,8,7,3,6,6,6,7,"[""turret_high_value"", ""overload_duel_value""]","[""フェード"", ""コアレッセンス""]","[""フェード後"", ""バイオティック・オーブ後""]","[""フェード"", ""コアレッセンス""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",モイラにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,フェード後、バイオティック・オーブ後,モルテン・コアはモイラを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Lúcio,ルシオ,サポート,タクティシャン,8,10,8,7,3,6,6,6,8,"[""setup_or_utility"", ""turret_high_value"", ""overload_duel_value""]","[""ウォール・ライド"", ""サウンド・バリア""]","[""ウォール・ライド後"", ""サウンドウェーブ後""]","[""ウォール・ライド"", ""サウンド・バリア""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ルシオにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,ウォール・ライド後、サウンドウェーブ後,モルテン・コアはルシオを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Ana,アナ,サポート,タクティシャン,7,4,6,7,7,5,6,5,6,"[""long_range_threat"", ""setup_or_utility""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]","[""スリープ・ダーツ後"", ""バイオティック・グレネード後""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",アナが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻り、タレットは別の射線を作る。,スリープ・ダーツ後、バイオティック・グレネード後,モルテン・コアはアナを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Wuyang,ウーヤン,サポート,サバイバー,7,7,8,9,5,6,6,6,8,"[""setup_or_utility"", ""molten_core_high_value"", ""overload_duel_value""]","[""飛流歩"", ""守衛波浪""]","[""飛流歩後"", ""玄武之杖後""]","[""飛流歩"", ""守衛波浪""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ウーヤンにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,飛流歩後、玄武之杖後,モルテン・コアはウーヤンを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Zenyatta,ゼニヤッタ,サポート,タクティシャン,7,4,7,7,7,5,5,6,6,"[""long_range_threat"", ""setup_or_utility""]","[""不和のオーブ"", ""心頭滅却""]","[""不和のオーブ後""]","[""不和のオーブ"", ""心頭滅却""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ゼニヤッタが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻り、タレットは別の射線を作る。,不和のオーブ後,モルテン・コアはゼニヤッタを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Mizuki,ミズキ,サポート,サバイバー,8,7,8,8,5,6,6,5,8,"[""setup_or_utility"", ""molten_core_high_value"", ""overload_duel_value""]","[""霊域結界"", ""形代"", ""癒しの波動""]","[""形代後"", ""呪縛後""]","[""霊域結界"", ""形代"", ""癒しの波動""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ミズキにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,形代後、呪縛後,モルテン・コアはミズキを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
